month,high_mean_day_of_month,middle_mean_day_of_month,n_years,estimate,se,ci_lower,ci_upper,p_one_sided
June-August average,17.82070707070707,15.860221260221259,33,1.9604858104858105,0.4245751094716139,1.0956546131998575,2.8253170077717638,0.9999699085156325
6,23.261363636363637,15.437229437229437,33,7.824134199134199,0.7236488598389017,6.3501097075714545,9.298158690696942,0.9999999999983777
7,22.056818181818183,15.713131313131315,33,6.343686868686869,0.7927402534341598,4.728927813763818,7.95844592360992,0.9999999980490205
8,8.143939393939394,16.43030303030303,33,-8.286363636363633,0.6142561209684686,-9.53756241058877,-7.035164862138498,4.7233888119370155e-15
