bandwidth_km,total_effect_years,total_effect_estimate,total_effect_standard_error,total_effect_t_statistic,total_effect_t_p_value_lower,total_effect_ci_lower,total_effect_ci_upper,total_effect_negative_years,total_effect_negative_fraction,anomaly_energy_component_years,anomaly_energy_component_estimate,anomaly_energy_component_standard_error,anomaly_energy_component_t_statistic,anomaly_energy_component_t_p_value_lower,anomaly_energy_component_ci_lower,anomaly_energy_component_ci_upper,anomaly_energy_component_negative_years,anomaly_energy_component_negative_fraction,climatology_anomaly_cross_component_years,climatology_anomaly_cross_component_estimate,climatology_anomaly_cross_component_standard_error,climatology_anomaly_cross_component_t_statistic,climatology_anomaly_cross_component_t_p_value_lower,climatology_anomaly_cross_component_ci_lower,climatology_anomaly_cross_component_ci_upper,climatology_anomaly_cross_component_negative_years,climatology_anomaly_cross_component_negative_fraction,climatology_energy_component_years,climatology_energy_component_estimate,climatology_energy_component_standard_error,climatology_energy_component_t_statistic,climatology_energy_component_t_p_value_lower,climatology_energy_component_ci_lower,climatology_energy_component_ci_upper,climatology_energy_component_negative_years,climatology_energy_component_negative_fraction,identity_error
125.799765,41,-0.059566244668752016,0.007012304584634351,-8.494531854659595,8.551522750790829e-11,-0.07373864089408835,-0.04539384844341568,38,0.926829268292683,41,-0.032183479931922415,0.00311865235785659,-10.31967537223088,3.866427269489547e-13,-0.038486511463307005,-0.02588044840053783,40,0.975609756097561,41,-0.027382764736829598,0.0058267124402567,-4.699522246480251,1.5342308482610035e-05,-0.039158989856223826,-0.01560653961743537,33,0.8048780487804879,41,0.0,0.0,,,0.0,0.0,0,0.0,3.469446951953614e-18
251.59953,41,-0.07510598301702762,0.008097948502076123,-9.27469259625104,8.087483361988142e-12,-0.09147254744654122,-0.05873941858751401,39,0.9512195121951219,41,-0.033035970135381225,0.0032606604349786415,-10.131680619358214,6.612775314583425e-13,-0.039626010696661905,-0.026445929574100545,40,0.975609756097561,41,-0.04207001288164643,0.006948759392273805,-6.05431998817275,1.9820909944252923e-07,-0.05611397948253059,-0.02802604628076227,36,0.8780487804878049,41,0.0,0.0,,,0.0,0.0,0,0.0,4.163336342344337e-17
503.19906,41,-0.10076973037613944,0.010073510520141205,-10.003437250068698,9.56131654428809e-13,-0.12112905458238818,-0.0804104061698907,40,0.975609756097561,41,-0.02411865646906463,0.003241263238806082,-7.441128563796851,2.296015974347398e-09,-0.030669493834520008,-0.01756781910360925,35,0.8536585365853658,41,-0.07665107390707479,0.009383362445981475,-8.16882800257827,2.336885450584722e-10,-0.09561555682497203,-0.057686590989177555,39,0.9512195121951219,41,0.0,0.0,,,0.0,0.0,0,0.0,2.7755575615628914e-17
1006.39812,41,-0.14497632570737712,0.011012805599751959,-13.164340766229671,2.001215522909182e-16,-0.16723403608326293,-0.12271861533149131,41,1.0,41,-0.010206560022040434,0.0033618666170081696,-3.035980062505743,0.0021022779119670883,-0.01700114590716785,-0.0034119741369130164,30,0.7317073170731707,41,-0.13476976568533675,0.011186605870064982,-12.047422359446536,3.454555830804757e-15,-0.15737873951038078,-0.11216079186029271,41,1.0,41,0.0,0.0,,,0.0,0.0,0,0.0,5.551115123125783e-17
2012.796241,41,-0.1717346155166989,0.011190555944683413,-15.34638818353697,1.1692063123253515e-18,-0.19435157274034412,-0.1491176582930537,41,1.0,41,-0.0028109930610207045,0.0036282223821770556,-0.7747576540041116,0.2215194000296118,-0.010143904028197153,0.0045219179061557445,27,0.6585365853658537,41,-0.1689236224556782,0.011963070175963425,-14.120423935578414,1.9680125107843987e-17,-0.19310188918082483,-0.1447453557305316,41,1.0,41,0.0,0.0,,,0.0,0.0,0,0.0,0.0
