scenario,family,design,simulations,mean_latent_sign_correlation,target_graph,bias_graph,rmse_graph,rejection_graph,target_variogram,bias_variogram,rmse_variogram,rejection_variogram
joint_sign_null,null,shared latent gradient,1000,0.613699614387698,8.88178419700125e-17,0.00381856865168011,0.036329772625804,0.055,-1.1842378929335e-16,0.00527084475934826,0.0458337283630384,0.053
joint_gradient_contraction,alternative,shared latent gradient,1000,0.610458457871917,-0.273736117748217,0.00186157932406486,0.0269678622213227,1,-0.366622922128691,0.00254214822863521,0.0326382492915642,1
seasonal_progression_null,null,within-month progression,1000,0.634542554194788,8.88178419700125e-17,0.00637077797876686,0.0375929745365473,0.04,-1.1842378929335e-16,0.00848800011758845,0.047687036596621,0.043
seasonal_gradient_contraction,alternative,within-month progression,1000,0.633605497356266,-0.107360581195164,0.0027213081368904,0.0364657216609036,0.786,-0.147150996316075,0.00331904584693709,0.0459965063375912,0.833
anisotropic_null,null,anisotropic covariance,1000,0.615793825575965,8.14163551391781e-17,0.00307896420647763,0.0385886107190061,0.07,4.44089209850063e-17,0.00420788825483187,0.048145188383041,0.073
anisotropic_amplitude_contraction,alternative,anisotropic covariance,1000,0.613258693257968,-0.0592252058483548,0.00212528884285384,0.0363432514200079,0.514,-0.0397964762775027,0.00316565441632728,0.045776536480447,0.255
peak_selection_null,null,peak-hour selection,1000,0.610876286738452,8.88178419700125e-17,0.00214945202881822,0.0368869384674555,0.066,-1.1842378929335e-16,0.00338717573528369,0.0462989074590455,0.066
peak_selection_contraction,alternative,peak-hour selection,1000,0.614064095708132,-0.0590468086093936,0.00362169240147737,0.0350326924300414,0.542,-0.0395851653555967,0.00516873789088676,0.0446131256693236,0.251
