metric,delta,record_mean_delta,record_ci_lower,record_ci_upper,record_t_p_value,shift_p_value,n_records,shift_B
Spatial variance,-4.96313141756478,-5.03681471655567,-7.97958229514366,-2.09404713796768,0.00351164110701375,0.0016,6,9999
Weighted leading eigenvalue,-1.77478227803981,-1.79148481322361,-2.85743627067365,-0.725533355773564,0.00378446977967641,0.001,6,9999
