configuration,years,estimate,standard_error,t_statistic,t_p_value,ci_lower,ci_upper,hac_lag,hac_standard_error,hac_statistic,hac_p_value,hac_ci_lower,hac_ci_upper,negative_years,negative_fraction,sign_p_value,consistency,primary_reference,difference_from_primary
primary_121_reproduction,33,-0.0728344831814085,0.0133257413610006,-5.46569839593073,2.56177862540536e-06,-0.0999781300859559,-0.0456908362768611,2,0.0136021134273265,-5.3546445977347,3.53975594507528e-06,-0.100541081563056,-0.0451278847997607,28,0.848484848484848,3.30938491970301e-05,TRUE,-0.0728344831814084,-8.32667268468867e-17
dense_465_fixed_labels,33,-0.0802690863781522,0.0126373496630228,-6.35173422581012,1.96803404524182e-07,-0.106010525279728,-0.0545276474765766,2,0.012659697052767,-6.34052189745,2.03246108181759e-07,-0.106056045423037,-0.0544821273332676,29,0.878787878787879,5.46430237591267e-06,TRUE,-0.0728344831814084,-0.00743460319674376
dense_465_recomputed,33,-0.072508646197631,0.0127466068694156,-5.68846650253325,1.33989936029295e-06,-0.0984726347459213,-0.0465446576493408,2,0.0116339694547825,-6.23249411814677,2.77332968653939e-07,-0.0962062664968738,-0.0488110258983882,29,0.878787878787879,5.46430237591267e-06,TRUE,-0.0728344831814084,0.000325836983777389
