sample_size,rho,innovation,effect,true_effect,simulations,bias,rmse,growing_lag,coverage_student,coverage_nw2,coverage_hac,rejection_student,rejection_nw2,rejection_hac,rejection_sign,rejection_three_025,z_mean,z_sd,z_q025,z_q975
20,0.6,skewed,application,-0.07,10000,-0.000388181323560742,0.051145438848441,2,0.6508,0.746,0.7169,0.7183,0.6532,0.6671,0.6845,0.5713,-0.00723333189231381,0.953059187516987,-1.59870701387768,2.11348466196566
20,0.6,t3,null,0,10000,0.000467023786682753,0.0498705744016173,2,0.659,0.763,0.7348,0.2153,0.1595,0.1716,0.1255,0.0941,0.00870247445110003,0.929289003607237,-1.77385533821125,1.81489389139079
20,0.6,t3,moderate,-0.035,10000,0.0007493337056942,0.0510054567498386,2,0.6514,0.7575,0.7274,0.4923,0.4077,0.4243,0.369,0.2964,0.0139630091980338,0.950375518395639,-1.81260795414859,1.86789184229798
20,0.6,t3,application,-0.07,10000,-0.000256925345737027,0.0525412218701693,2,0.6549,0.7667,0.7369,0.7624,0.6876,0.7041,0.6694,0.5858,-0.00478752115175519,0.97908511433142,-1.84086596698015,1.79049163344901
33,0,gaussian,null,0,10000,0.000569156262549434,0.0206543794286127,3,0.9519,0.9333,0.9122,0.0475,0.0601,0.0706,0.0361,0.008,0.0272462817157056,0.988427087211477,-1.92435357991713,1.97098518433238
33,0,gaussian,moderate,-0.035,10000,-4.40104300626689e-05,0.0207848290020908,3,0.9516,0.9311,0.9121,0.4962,0.5317,0.5631,0.338,0.1813,-0.00210683893830066,0.99504545880593,-1.95415463742847,1.92274166791586
33,0,gaussian,application,-0.07,10000,-0.00021255205475432,0.0206200848266231,3,0.9518,0.9348,0.9144,0.9502,0.956,0.9614,0.8143,0.6848,-0.0101751549515549,0.987108321316074,-1.93246250126393,1.93146932186713
33,0,skewed,null,0,10000,-0.000293229224902421,0.0207115551652038,3,0.9241,0.9057,0.8851,0.1035,0.1199,0.1329,0.3927,0.0586,-0.0140372804353979,0.991440418005282,-1.75146826749032,2.12086238238716
33,0,skewed,moderate,-0.035,10000,-1.60669721136815e-05,0.0206095457438826,3,0.9294,0.9101,0.8904,0.5554,0.5812,0.6063,0.8469,0.4271,-0.000769147732060187,0.986655922906855,-1.72221065285192,2.10992705981575
33,0,skewed,application,-0.07,10000,4.63215229938426e-05,0.0207989975450559,3,0.9261,0.9068,0.8879,0.8905,0.8982,0.9083,0.9842,0.8183,0.00221747408934311,0.995723521335123,-1.73164782712039,2.12774545401001
33,0,t3,null,0,10000,-0.000189919617735375,0.0208919967635336,3,0.9579,0.9366,0.9145,0.0497,0.065,0.0776,0.0401,0.0066,-0.00909170951572846,1.00013688477583,-1.93061842884853,1.91921762289883
33,0,t3,moderate,-0.035,10000,6.53199161392485e-05,0.0206237853470956,3,0.9558,0.9322,0.9105,0.5821,0.6095,0.6358,0.6204,0.332,0.00312695291940437,0.98733297380077,-1.93129220333719,1.9299627851328
33,0,t3,application,-0.07,10000,-3.62611215797006e-05,0.021270637575646,3,0.9566,0.9362,0.9147,0.9443,0.9494,0.9556,0.983,0.8793,-0.00173586903790271,1.01830368755399,-1.94369094670046,1.90825892662632
33,0.3,gaussian,null,0,10000,-0.000460581626749765,0.0283654251563719,3,0.8536,0.8897,0.8734,0.1183,0.0914,0.0988,0.0823,0.0298,-0.0161792981088738,0.99633829168564,-1.98674198434186,1.94709978869123
