bandwidth_km,years,records,mean_stations,station_effect_estimate,station_effect_se,station_effect_ci_lower,station_effect_ci_upper,station_effect_negative_years,era_effect_estimate,era_effect_se,era_effect_ci_lower,era_effect_ci_upper,era_effect_negative_years
125.799765,10,30,25.316393379439045,-0.062291527428444946,0.08682874384118636,-0.25871179225040836,0.1341287373935185,6,-0.11600690264505231,0.07025786489046613,-0.2749412349538558,0.042927429663751154,7
251.59953,10,30,25.316393379439045,-0.07227731205383017,0.060917744264749295,-0.210082823587247,0.06552819947958666,7,-0.12744096188887036,0.043930718186950574,-0.22681915070480543,-0.028062773072935282,8
503.19906,10,30,25.316393379439045,-0.12504620404855332,0.05103883839259075,-0.24050407790210526,-0.009588330195001382,8,-0.17128895162890315,0.035448212397902794,-0.25147837921519245,-0.09109952404261387,10
1006.39812,10,30,25.316393379439045,-0.1803079971966055,0.049224173390374194,-0.29166081361721263,-0.0689551807759984,9,-0.2160114327248286,0.0329970250422056,-0.2906558892769301,-0.14136697617272712,10
2012.796241,10,30,25.316393379439045,-0.2147115492642861,0.048792844475926876,-0.32508863189153014,-0.10433446663704206,9,-0.24227807103558235,0.03310833106611064,-0.3171743193069294,-0.1673818227642353,10
