bandwidth_km,q_middle_c2,q_high_c2,rms_middle_c,rms_high_c,mean_record_rms_middle_c,mean_record_rms_high_c,graph_effect,graph_ci_lower,graph_ci_upper,negative_years,rms_effect_mean,rms_effect_from_mean_graph,bounded_effect,log_effect
125.7997650312984,2.6615405198332303,2.5782147545234895,2.3071803223125973,2.2707772918203535,2.3055695951932034,2.268438293907146,-0.028560081890210975,-0.050432811911901604,-0.006687351868520347,22,-0.015409412117094083,-0.014383483240165584,-0.03306958811098959,-0.033159593328341244
251.5995300625968,4.356192791108702,4.168634837768365,2.951675046853465,2.8874330599230746,2.9486542932573285,2.8827574629166866,-0.039447164166189604,-0.06499694367910243,-0.013897384653276775,23,-0.021434012264878892,-0.019922025635811802,-0.04626973597255656,-0.04645563654743703
503.1990601251936,7.9434780142175745,7.4326146057114695,3.9858444561265998,3.855545254749701,3.9785082288769167,3.8437184533707356,-0.05906682668665191,-0.0891485640320458,-0.02898508934125802,25,-0.0325446812089322,-0.029982900504662124,-0.07105121072900474,-0.071526633358603
1006.3981202503873,12.8916647432576,11.488745352754465,5.0777287724449405,4.793484192683745,5.062780113364042,4.768691038528662,-0.1044142633265124,-0.13493841791956046,-0.07389010873346433,29,-0.05695071327796575,-0.05364608276105942,-0.12324689963688913,-0.12434218075179106
2012.7962405007745,15.903487133765077,13.743183651754057,5.6397672174948985,5.242744253109064,5.618171021375652,5.20771351395264,-0.13268407983747438,-0.16281702397547895,-0.10255113569946979,30,-0.07224278669215506,-0.06870202396734182,-0.15607835351021312,-0.15766947697341896
