bandwidth_km,total_effect_years,total_effect_estimate,total_effect_standard_error,total_effect_ci_lower,total_effect_ci_upper,total_effect_negative_years,anomaly_energy_component_years,anomaly_energy_component_estimate,anomaly_energy_component_standard_error,anomaly_energy_component_ci_lower,anomaly_energy_component_ci_upper,anomaly_energy_component_negative_years,climatology_anomaly_cross_component_years,climatology_anomaly_cross_component_estimate,climatology_anomaly_cross_component_standard_error,climatology_anomaly_cross_component_ci_lower,climatology_anomaly_cross_component_ci_upper,climatology_anomaly_cross_component_negative_years,climatology_energy_component_years,climatology_energy_component_estimate,climatology_energy_component_standard_error,climatology_energy_component_ci_lower,climatology_energy_component_ci_upper,climatology_energy_component_negative_years,identity_error
125.7997650312984,33,-0.028560081890210982,0.010738068622577418,-0.050432811911901604,-0.006687351868520357,22,33,-0.026336324779779253,0.004493332038274457,-0.035488942631778035,-0.01718370692778047,27,33,-0.002223757110431519,0.00864469722147015,-0.019832429124960957,0.01538491490409792,16,33,0.0,0.0,0.0,0.0,0,2.1033522146218786e-16
251.5995300625968,33,-0.03944716416618959,0.012543257537093426,-0.06499694367910241,-0.013897384653276765,23,33,-0.02450104445377756,0.004926055442312396,-0.034535091035956776,-0.014466997871598344,26,33,-0.014946119712411946,0.010792706278985393,-0.03693014299824849,0.007037903573424598,18,33,0.0,0.0,0.0,0.0,0,8.326672684688674e-17
503.1990601251936,33,-0.059066826686651905,0.014768150092871767,-0.0891485640320458,-0.028985089341258014,25,33,-0.014197423245490073,0.004957160239629683,-0.02429482822646644,-0.004100018264513708,23,33,-0.04486940344116177,0.013496154574401604,-0.07236017070225197,-0.01737863618007157,20,33,0.0,0.0,0.0,0.0,0,6.245004513516506e-17
1006.3981202503873,33,-0.1044142633265124,0.014985347797978135,-0.13493841791956046,-0.07389010873346433,29,33,-0.001814152896385749,0.00453164592458007,-0.01104481358091797,0.0074165077881464736,21,33,-0.10260011043012658,0.014423924685910177,-0.1319806835664143,-0.07321953729383887,28,33,0.0,0.0,0.0,0.0,0,6.938893903907228e-17
2012.7962405007745,33,-0.13268407983747438,0.014793289252567444,-0.16281702397547895,-0.10255113569946979,30,33,0.004067164532723757,0.004429341288907172,-0.004955108428215803,0.013089437493663317,16,33,-0.1367512443701981,0.014759117011835477,-0.16681458193163498,-0.1066879068087612,33,33,0.0,0.0,0.0,0.0,0,5.551115123125783e-17
