basis,year,bandwidth_km,total_effect,structured_component,residual_component,analysis_role
latitude,1991,125.7997650312984,0.07281041033487624,-0.015824259903285568,0.08863467023816213,held_out
latitude,1991,251.5995300625968,0.07721930439696767,-0.030966982215849707,0.10818628661281755,held_out
latitude,1991,503.1990601251936,0.08419294833409774,-0.05240829898248877,0.1366012473165875,held_out
latitude,1991,1006.3981202503873,0.0417117272560617,-0.0780343773718634,0.11974610462792512,held_out
latitude,1991,2012.7962405007745,0.004766025278982446,-0.09591592071090527,0.10068194598988763,held_out
latitude,1992,125.7997650312984,0.046962210265220135,-0.02286702790724532,0.06982923817246597,held_out
latitude,1992,251.5995300625968,0.03576211147413285,-0.04480880998446857,0.0805709214586011,held_out
latitude,1992,503.1990601251936,0.029034860969233103,-0.07901543547952129,0.1080502964487537,held_out
latitude,1992,1006.3981202503873,-0.020332868128932226,-0.11767460483912003,0.09734173671018852,held_out
latitude,1992,2012.7962405007745,-0.05810118311111042,-0.13910133557698764,0.08100015246587715,held_out
latitude,1993,125.7997650312984,-0.016880659568624858,-0.02842259474945144,0.011541935180827323,held_out
latitude,1993,251.5995300625968,-0.007764407688317205,-0.04556770147039838,0.0378032937820819,held_out
latitude,1993,503.1990601251936,-0.004533389415210395,-0.0688307600022474,0.06429737058703712,held_out
latitude,1993,1006.3981202503873,-0.03870833447015266,-0.09450867920174182,0.05580034473158854,held_out
latitude,1993,2012.7962405007745,-0.06601950988657586,-0.10962983089835675,0.043610321011780855,held_out
latitude,1994,125.7997650312984,0.038272464224816914,-0.018260353973986166,0.056532818198803785,held_out
latitude,1994,251.5995300625968,0.04487437642391661,-0.03655148206077675,0.08142585848469379,held_out
latitude,1994,503.1990601251936,0.03785570979443411,-0.07443187876870798,0.11228758856314247,held_out
latitude,1994,1006.3981202503873,-0.01698280777912688,-0.11833122761176795,0.10134841983264127,held_out
latitude,1994,2012.7962405007745,-0.05631557693340917,-0.14262186322544035,0.08630628629203065,held_out
latitude,1995,125.7997650312984,0.007188224917916329,-0.005153202729559297,0.012341427647475303,held_out
latitude,1995,251.5995300625968,-0.012526020593260294,-0.016907079503748618,0.004381058910488632,held_out
latitude,1995,503.1990601251936,-0.0544034124062951,-0.049315731037029915,-0.005087681369265094,held_out
latitude,1995,1006.3981202503873,-0.09620459253762814,-0.08807257886310547,-0.008132013674522473,held_out
latitude,1995,2012.7962405007745,-0.1124900239085906,-0.10385853562554874,-0.008631488283042214,held_out
latitude,1996,125.7997650312984,-0.0692398000783243,-0.03618923720568464,-0.033050562872638134,held_out
latitude,1996,251.5995300625968,-0.061879549072442246,-0.06051344619911259,-0.0013661028733302331,held_out
latitude,1996,503.1990601251936,-0.06310095366619518,-0.10270454978977202,0.03960359612357776,held_out
latitude,1996,1006.3981202503873,-0.12582043820542843,-0.15338510192865348,0.027564663723225136,held_out
latitude,1996,2012.7962405007745,-0.16707741679952962,-0.18052964931787566,0.013452232518346404,held_out
latitude,1997,125.7997650312984,-0.07432589002648483,-0.026435478834671542,-0.04789041119181411,held_out
