file,date,n_sites,wbt_mean,spatial_variance,lambda_weighted
era5_201506_consistent.csv,2015-06-01,121,19.7848986618563,36.1017903505047,13.6673703895535
era5_201506_consistent.csv,2015-06-02,121,19.1994717306641,44.7918671249184,16.1747017244617
era5_201506_consistent.csv,2015-06-03,121,17.9551800995447,33.3151026991601,9.35109330638087
era5_201506_consistent.csv,2015-06-04,121,17.0130946750694,31.1268312113462,10.127850306493
era5_201506_consistent.csv,2015-06-05,121,17.6096588725022,22.7536122531024,7.20048916156224
era5_201506_consistent.csv,2015-06-06,121,18.4469366781745,29.4065681323556,10.959353130718
era5_201506_consistent.csv,2015-06-07,121,18.4825789760714,34.6977465196682,12.167860539386
era5_201506_consistent.csv,2015-06-08,121,18.2660966923522,28.9653989787376,8.52233084080212
era5_201506_consistent.csv,2015-06-09,121,19.3365829581258,19.6019164132422,5.90946234790701
era5_201506_consistent.csv,2015-06-10,121,19.4415000075699,36.3817869981427,14.5492854414592
era5_201506_consistent.csv,2015-06-11,121,17.9861497587616,28.5028080820297,8.52548869239325
era5_201506_consistent.csv,2015-06-12,121,18.4196976519598,27.8352600969336,9.05714607874977
era5_201506_consistent.csv,2015-06-13,121,19.0217901609349,24.5379153658348,7.64668783437763
era5_201506_consistent.csv,2015-06-14,121,19.4832441385947,20.8758964856494,6.47543113784098
era5_201506_consistent.csv,2015-06-15,121,20.3895968583583,17.0740865782439,5.06114304145291
era5_201506_consistent.csv,2015-06-16,121,20.7216883459883,16.50127488035,5.16960134687895
era5_201506_consistent.csv,2015-06-17,121,20.4371389119068,16.559914435345,5.53330724637473
era5_201506_consistent.csv,2015-06-18,121,19.2687155524112,25.7572141339195,8.82235328995792
era5_201506_consistent.csv,2015-06-19,121,19.5233374504971,24.6264143415632,9.08002537189407
era5_201506_consistent.csv,2015-06-20,121,19.6527395796017,24.1546615999325,8.13068177911842
era5_201506_consistent.csv,2015-06-21,121,19.7505671663771,19.1443318833176,6.01160002546939
era5_201506_consistent.csv,2015-06-22,121,20.7260293466982,15.3589574474659,4.70970312073518
era5_201506_consistent.csv,2015-06-23,121,21.4869692460995,15.7350814000023,5.48659671254465
era5_201506_consistent.csv,2015-06-24,121,21.5019682692866,16.9424678191592,5.51624178839045
era5_201506_consistent.csv,2015-06-25,121,21.5863424070665,16.5747446347661,5.49923284170593
era5_201506_consistent.csv,2015-06-26,121,22.1215236288894,14.5222689871965,5.35496013377752
era5_201506_consistent.csv,2015-06-27,121,22.1819149622679,13.5885875639008,4.67100155487802
