diagnostic,estimate,se,ci_lower,ci_upper,p_one_sided,gamma0,gamma1,gamma2,pairs_lag1,pairs_lag2,p_two_sided,early_mean,late_mean,negative_years,p_one_sided_independent_sign_reference
compressed_lag,-0.07283448318140784,0.013605754227382368,-0.1005484976300862,-0.04512046873272947,3.5545562514898472e-06,0.00568241225024896,0.0005587448022110943,-0.00047783884904693575,32.0,31.0,,,,,
calendar_lag,-0.07283448318140784,0.013311228334360832,-0.09994856801807828,-0.0457203983447374,2.517718853676977e-06,0.00568241225024896,0.00022171286045198605,-0.0001961985076876239,30.0,29.0,,,,,
linear_trend,-0.00217820092191858,0.0012936556821971279,-0.00481662908076674,0.00046022723692958024,,,,,,,0.1022739917115348,,,,
late_minus_early,-0.029534123960747838,0.026761753489956696,-0.08430893424721732,0.025240686325721642,,,,,,,0.2789971884024357,-0.05851490792771191,-0.08804903188845975,,
negative_year_fraction,0.8484848484848485,,0.6908012411955788,0.9334954271839244,,,,,,,,,,28.0,3.309384919703007e-05
