measure,years,estimate,standard_error,ci_lower,ci_upper,negative_years,transformed_estimate,transformed_ci_lower,transformed_ci_upper
graph_effect,33,-0.07283448318140784,0.013325741361000518,-0.09997813008595519,-0.04569083627686049,28,,,
log_effect,33,-0.08663070419191828,0.015021472919993407,-0.11722844325053582,-0.056032965133300736,29,-0.08298431684243712,-0.11061800335942273,-0.05449203341950637
bounded_effect,33,-0.08594315759193064,0.0148599191127151,-0.11621182231374007,-0.0556744928701212,29,,,
rms_effect,33,-0.0397163211122052,0.0070446459563682515,-0.05406579535360306,-0.025366846870807338,28,,,
