day_definition,years,estimate,standard_error,t_statistic,degrees_freedom,t_p_value,ci_lower,ci_upper,hac_lag,hac_standard_error,hac_statistic,hac_p_value,hac_ci_lower,hac_ci_upper,negative_years,negative_fraction,sign_p_value,consistency_threshold,confirmatory_consistency
utc,33,-0.14453925377736,0.0147260294551146,-9.81522237327581,32,1.78547844887181e-11,-0.174535194191258,-0.114543313363461,2,0.0147210454806856,-9.81854542647796,1.77087972209981e-11,-0.174525042167561,-0.114553465387159,33,1,1.16415321826935e-10,0.025,TRUE
utc_plus_8,33,-0.145150295566009,0.0147756639368803,-9.82360563870912,32,1.74888316766066e-11,-0.175247338110801,-0.115053253021216,2,0.014744106598216,-9.84463145319172,1.66043262153707e-11,-0.175183057915445,-0.115117533216572,33,1,1.16415321826935e-10,0.025,TRUE
