metric,bandwidth_km,smooth_edf,mapped_effect,common_colour_limit_pp
graph_h_0.125,125.799765031298,65.5090879113576,-0.0339500518568716,0.0754154694570832
graph_h_0.500,503.199060125194,57.1309803714074,-0.0689753830390291,0.0754154694570832
graph_h_2.000,2012.79624050077,60.6051805292809,-0.139585219629048,0.0754154694570832
