window_days,year,matched_effect,bandwidths
3,1991,0.04820211890163573,5
3,1992,-0.03544692473386131,5
3,1993,-0.030342218942805577,5
3,1994,-0.08693268463714574,5
3,1995,-0.07661265684601333,5
3,1996,-0.1604188126165646,5
3,1997,-0.10011025920122396,5
3,1998,0.027491947283586355,5
3,1999,-0.08699776334413441,5
3,2000,-0.22255077451492014,5
3,2001,-0.06242074614458594,5
3,2002,0.020146397684919104,5
3,2003,-0.10338586812457555,5
3,2004,-0.08907017474727114,5
3,2005,-0.1244313532348457,5
3,2006,-0.047319749351058614,5
3,2007,0.04415972782390565,5
3,2008,-0.05133711349198812,5
3,2009,-0.14343879271051385,5
3,2010,-0.04575952476613506,5
3,2011,-0.053220531354209046,5
3,2012,-0.18784556454962859,5
3,2013,-0.07154330998610416,5
3,2014,0.1464266919487108,5
3,2016,0.08183874507532425,5
3,2017,-0.026710512450620415,5
3,2018,-0.0601253389157098,5
3,2019,0.03477225671416047,5
3,2020,0.019244266280657882,5
3,2021,-0.14846958806509755,5
3,2023,0.0055053277548596955,5
3,2024,-0.03525069099143089,5
3,2025,-0.0976022982086821,5
5,1991,0.059506288749820745,5
5,1992,-0.029453785994231756,5
5,1993,-0.05871650545003839,5
5,1994,-0.052803422792480806,5
5,1995,-0.03853909064182359,5
5,1996,-0.15396283089810994,5
5,1997,-0.07295044889540697,5
5,1998,0.029102991377329968,5
5,1999,-0.12814663755580108,5
5,2000,-0.22086177231844983,5
5,2001,-0.05990189121260049,5
5,2002,-0.0071716122557516125,5
5,2003,-0.0704469860965877,5
5,2004,-0.12315157992497563,5
5,2005,-0.14219859533143311,5
5,2006,-0.09724888087782763,5
5,2007,0.018212578390200636,5
5,2008,-0.06073617429311144,5
5,2009,-0.13899715648453476,5
5,2010,-0.04809058077211825,5
5,2011,-0.07162955174227185,5
5,2012,-0.20865035884492808,5
5,2013,-0.07924094009172176,5
5,2014,0.09292926015274909,5
5,2016,0.07494493689848397,5
5,2017,-0.05097862778938541,5
5,2018,-0.03874598806279091,5
5,2019,0.04370522333320805,5
5,2020,0.035480527656455894,5
5,2021,-0.1234590513342401,5
5,2023,0.0009136396699370066,5
5,2024,-0.04695588610554289,5
5,2025,-0.12058551881880657,5
