sensitivity,day_definition,lower_quantile,upper_quantile,years,estimate,standard_error,t_statistic,degrees_freedom,t_p_value,ci_lower,ci_upper,hac_lag,hac_standard_error,hac_statistic,hac_p_value,hac_ci_lower,hac_ci_upper,negative_years,negative_fraction,sign_p_value,consistency_threshold,confirmatory_consistency
threshold_70,utc,0.25,0.7,33,-0.0689846871804025,0.0129558913949259,-5.32458053850466,32,3.86361564936796e-06,-0.0953749743569749,-0.0425944000038301,2,0.0129907101204841,-5.3103091779121,4.02756080069273e-06,-0.0954458977800412,-0.0425234765807638,29,0.878787878787879,5.46430237591267e-06,0.025,TRUE
threshold_80,utc,0.25,0.8,33,-0.0827258495994008,0.0130613644335691,-6.333629998623,32,2.07311399383879e-07,-0.109330978325222,-0.05612072087358,2,0.0128980890417249,-6.41380667568548,1.64685746641721e-07,-0.108998397235408,-0.056453301963394,29,0.878787878787879,5.46430237591267e-06,0.025,TRUE
stull_wbt,utc_stull,0.25,0.75,33,-0.0727838905811769,0.0120370539712444,-6.04665317236694,32,4.74196510831916e-07,-0.0973025671722334,-0.0482652139901204,2,0.0121887623966754,-5.97139301041992,5.89574281716417e-07,-0.0976115871224777,-0.047956194039876,28,0.848484848484848,3.30938491970301e-05,0.025,TRUE
sitewise_daily_max,sitewise_max,0.25,0.75,33,-0.0706709805928163,0.012496155136049,-5.65541799244669,32,1.4750225870785e-06,-0.0961248156544847,-0.045217145531148,2,0.0122018867207235,-5.79180762863415,9.92407531955811e-07,-0.0955254105073811,-0.0458165506782515,27,0.818181818181818,0.000162031734362245,0.025,TRUE
