scenario,measure,replications,target,mean_estimate,bias,rmse,rejection_rate_05,monte_carlo_se_rejection,median_p_value
null,raw_ratio,2000,0,0.371628601013407,0.371628601013407,1.47247887237915,0.047,0.00473238840333293,0.4935
null,log_ratio,2000,0,-0.0698104678699399,-0.0698104678699399,0.328326293873298,0.049,0.00482695556225661,0.5035
null,bounded_symmetric,2000,0,-0.0656527615393648,-0.0656527615393648,0.277098767781653,0.0475,0.00475624589355933,0.5055
alternative_minus_7pct,raw_ratio,2000,-0.07,0.275614598942469,0.345614598942469,1.36940535131261,0.0795,0.00604895652158288,0.41
alternative_minus_7pct,log_ratio,2000,-0.0725706928348354,-0.142381160704775,-0.0698104678699399,0.328326293873298,0.085,0.00623598428477815,0.409
alternative_minus_7pct,bounded_symmetric,2000,-0.0725388601036269,-0.129931294357978,-0.0573924342543507,0.274804420565276,0.079,0.00603154209137265,0.41
