lon,lat,candidate_id,era5_land_valid,coordinate_key,original_site_id,is_original_site
108.2,20.4,101,FALSE,"108.200000,20.400000",,FALSE
108.2,21.3,102,FALSE,"108.200000,21.300000",,FALSE
108.2,22.2,103,TRUE,"108.200000,22.200000",27,TRUE
108.2,23.1,104,TRUE,"108.200000,23.100000",,FALSE
108.2,24,105,TRUE,"108.200000,24.000000",28,TRUE
108.2,24.9,106,TRUE,"108.200000,24.900000",,FALSE
108.2,25.8,107,TRUE,"108.200000,25.800000",29,TRUE
108.2,26.7,108,TRUE,"108.200000,26.700000",,FALSE
108.2,27.6,109,TRUE,"108.200000,27.600000",30,TRUE
108.2,28.5,110,TRUE,"108.200000,28.500000",,FALSE
108.2,29.4,111,TRUE,"108.200000,29.400000",31,TRUE
108.2,30.3,112,TRUE,"108.200000,30.300000",,FALSE
108.2,31.2,113,TRUE,"108.200000,31.200000",32,TRUE
108.2,32.1,114,TRUE,"108.200000,32.100000",,FALSE
108.2,33,115,TRUE,"108.200000,33.000000",33,TRUE
108.2,33.9,116,TRUE,"108.200000,33.900000",,FALSE
108.2,34.8,117,TRUE,"108.200000,34.800000",34,TRUE
108.2,35.7,118,TRUE,"108.200000,35.700000",,FALSE
108.2,36.6,119,TRUE,"108.200000,36.600000",35,TRUE
108.2,37.5,120,TRUE,"108.200000,37.500000",,FALSE
108.2,38.4,121,TRUE,"108.200000,38.400000",36,TRUE
108.2,39.3,122,TRUE,"108.200000,39.300000",,FALSE
108.2,40.2,123,TRUE,"108.200000,40.200000",37,TRUE
108.2,41.1,124,TRUE,"108.200000,41.100000",,FALSE
108.2,42,125,TRUE,"108.200000,42.000000",38,TRUE
109,20.4,126,FALSE,"109.000000,20.400000",,FALSE
109,21.3,127,FALSE,"109.000000,21.300000",,FALSE
109,22.2,128,TRUE,"109.000000,22.200000",,FALSE
109,23.1,129,TRUE,"109.000000,23.100000",,FALSE
109,24,130,TRUE,"109.000000,24.000000",,FALSE
109,24.9,131,TRUE,"109.000000,24.900000",,FALSE
109,25.8,132,TRUE,"109.000000,25.800000",,FALSE
109,26.7,133,TRUE,"109.000000,26.700000",,FALSE
109,27.6,134,TRUE,"109.000000,27.600000",,FALSE
109,28.5,135,TRUE,"109.000000,28.500000",,FALSE
109,29.4,136,TRUE,"109.000000,29.400000",,FALSE
109,30.3,137,TRUE,"109.000000,30.300000",,FALSE
109,31.2,138,TRUE,"109.000000,31.200000",,FALSE
109,32.1,139,TRUE,"109.000000,32.100000",,FALSE
109,33,140,TRUE,"109.000000,33.000000",,FALSE
109,33.9,141,TRUE,"109.000000,33.900000",,FALSE
109,34.8,142,TRUE,"109.000000,34.800000",,FALSE
109,35.7,143,TRUE,"109.000000,35.700000",,FALSE
109,36.6,144,TRUE,"109.000000,36.600000",,FALSE
109,37.5,145,TRUE,"109.000000,37.500000",,FALSE
109,38.4,146,TRUE,"109.000000,38.400000",,FALSE
109,39.3,147,TRUE,"109.000000,39.300000",,FALSE
109,40.2,148,TRUE,"109.000000,40.200000",,FALSE
109,41.1,149,TRUE,"109.000000,41.100000",,FALSE
109,42,150,TRUE,"109.000000,42.000000",,FALSE
109.8,20.4,151,FALSE,"109.800000,20.400000",,FALSE
109.8,21.3,152,TRUE,"109.800000,21.300000",,FALSE
109.8,22.2,153,TRUE,"109.800000,22.200000",39,TRUE
109.8,23.1,154,TRUE,"109.800000,23.100000",,FALSE
109.8,24,155,TRUE,"109.800000,24.000000",40,TRUE
109.8,24.9,156,TRUE,"109.800000,24.900000",,FALSE
109.8,25.8,157,TRUE,"109.800000,25.800000",41,TRUE
109.8,26.7,158,TRUE,"109.800000,26.700000",,FALSE
109.8,27.6,159,TRUE,"109.800000,27.600000",42,TRUE
109.8,28.5,160,TRUE,"109.800000,28.500000",,FALSE
109.8,29.4,161,TRUE,"109.800000,29.400000",43,TRUE
109.8,30.3,162,TRUE,"109.800000,30.300000",,FALSE
109.8,31.2,163,TRUE,"109.800000,31.200000",44,TRUE
109.8,32.1,164,TRUE,"109.800000,32.100000",,FALSE
109.8,33,165,TRUE,"109.800000,33.000000",45,TRUE
109.8,33.9,166,TRUE,"109.800000,33.900000",,FALSE
