configuration,analysis_role,mapped_effect,expected_effect,absolute_error
dense_465_fixed_labels,confirmatory,-0.0802690863781536,-0.0802690863781522,1.41553435639707e-15
dense_465_fixed_labels,discovery,-0.153295226316451,-0.15329522631645,1.0547118733939e-15
dense_465_recomputed,confirmatory,-0.0725086461976326,-0.072508646197631,1.5404344466674e-15
dense_465_recomputed,discovery,-0.15333852733621,-0.153338527336209,1.2490009027033e-15
