site_id,lon,lat,matched_lon,matched_lat,geopotential_m2_s2,elevation_m
1,105.0,20.4,105.0,20.399999618530273,3918.989329386055,399.6256957662459
2,105.0,22.2,105.0,22.200000762939453,3375.5539914647015,344.21071328789156
3,105.0,24.0,105.0,24.0,12511.49557814622,1275.817488963736
4,105.0,25.8,105.0,25.799999237060547,15237.712781692526,1553.8142772192875
5,105.0,27.6,105.0,27.600000381469727,15815.30117227437,1612.711901849701
6,105.0,29.4,105.0,29.399999618530273,3161.5951615622107,322.3929845117559
7,105.0,31.2,105.0,31.200000762939453,4354.943001581742,444.08059853076657
8,105.0,33.0,105.0,33.0,16495.34872083769,1682.0574529362923
9,105.0,34.8,105.0,34.79999923706055,17239.68436852664,1757.9585657208772
10,105.0,36.6,105.0,36.599998474121094,17901.650889210876,1825.4603650799077
11,105.0,38.4,105.0,38.400001525878906,13357.285882267808,1362.0640975529675
12,105.0,40.2,105.0,40.20000076293945,13745.023480119273,1401.602329043993
13,105.0,42.0,105.0,42.0,11357.32329853137,1158.1246703544402
14,106.6,20.4,106.5999984741211,20.399999618530273,-8.611726570485189,-0.8781517205656559
15,106.6,22.2,106.5999984741211,22.200000762939453,2523.736678050085,257.349520789473
16,106.6,24.0,106.5999984741211,24.0,2937.5913161713397,299.55094922030867
17,106.6,25.8,106.5999984741211,25.799999237060547,10361.862263632924,1056.6158946870669
18,106.6,27.6,106.5999984741211,27.600000381469727,10107.723371776912,1030.700939849685
19,106.6,29.4,106.5999984741211,29.399999618530273,3464.9546293112835,353.32704127416434
20,106.6,31.2,106.5999984741211,31.200000762939453,3893.8767906651046,397.064929477967
21,106.6,33.0,106.5999984741211,33.0,9149.428894185468,932.982098288964
22,106.6,34.8,106.5999984741211,34.79999923706055,19027.69712545826,1940.285125446331
23,106.6,36.6,106.5999984741211,36.599998474121094,18661.054060132396,1902.89793763746
24,106.6,38.4,106.5999984741211,38.400001525878906,12037.370847094691,1227.4702214410315
25,106.6,40.2,106.5999984741211,40.20000076293945,10445.235892186476,1065.1176387641526
26,106.6,42.0,106.5999984741211,42.0,9655.697674799816,984.6071466606656
27,108.2,22.2,108.19999694824219,22.200000762939453,1871.8151728542289,190.87202794575404
28,108.2,24.0,108.19999694824219,24.0,4385.078048046882,447.15351807670123
29,108.2,25.8,108.19999694824219,25.799999237060547,6659.26955461609,679.0565131432335
30,108.2,27.6,108.19999694824219,27.600000381469727,6941.534489839567,707.8395262234878
31,108.2,29.4,108.19999694824219,29.399999618530273,6789.854755965029,692.3724978422835
32,108.2,31.2,108.19999694824219,31.200000762939453,6129.897238378471,625.0755597863156
33,108.2,33.0,108.19999694824219,33.0,6621.098495760249,675.1641483850499
34,108.2,34.8,108.19999694824219,34.79999923706055,10475.370938651617,1068.1905583100872
35,108.2,36.6,108.19999694824219,36.599998474121094,15125.20860822267,1542.3420442477984
36,108.2,38.4,108.19999694824219,38.400001525878906,13451.70902785858,1371.692578796896
37,108.2,40.2,108.19999694824219,40.20000076293945,12499.441559560164,1274.588321145362
38,108.2,42.0,108.19999694824219,42.0,12997.674327783809,1325.3939243048146
39,109.8,22.2,109.80000305175781,22.200000762939453,1279.1592590398177,130.43794354237357
40,109.8,24.0,109.80000305175781,24.0,1287.195271430519,131.25738875462253
41,109.8,25.8,109.80000305175781,25.799999237060547,4289.650400907274,437.42260618124175
42,109.8,27.6,109.80000305175781,27.600000381469727,3583.4858120741665,365.4138581548405
43,109.8,29.4,109.80000305175781,29.399999618530273,6843.093338053444,697.8013223734348
44,109.8,31.2,109.80000305175781,31.200000762939453,6649.22453912771,678.0322066279219
45,109.8,33.0,109.80000305175781,33.0,6261.4869412762455,638.4939751368964
46,109.8,34.8,109.80000305175781,34.79999923706055,3833.6066977348237,390.9190903860976
47,109.8,36.6,109.80000305175781,36.599998474121094,10483.406951042318,1069.0100035223363
48,109.8,38.4,109.80000305175781,38.400001525878906,11391.47635119186,1161.6073125064993
49,109.8,40.2,109.80000305175781,40.20000076293945,11724.970865406074,1195.6142888148424
50,109.8,42.0,109.80000305175781,42.0,14289.463319589464,1457.1197421738784
51,111.4,22.2,111.4000015258789,22.200000762939453,4185.182239828122,426.7698184220016
52,111.4,24.0,111.4000015258789,24.0,2963.708356441126,302.2141461601185
53,111.4,25.8,111.4000015258789,25.799999237060547,6885.28240310464,702.1034097377433
54,111.4,27.6,111.4000015258789,27.600000381469727,3957.1603882418967,403.51806052442953
55,111.4,29.4,111.4000015258789,29.399999618530273,1603.6132593144866,163.52304398693607
56,111.4,31.2,111.4000015258789,31.200000762939453,5991.276024638828,610.9401298750163
57,111.4,33.0,111.4000015258789,33.0,2271.606789291749,231.6394272551533
