file,year,month,analysis_role,mean_extreme,mean_moderate,relative_effect,absolute_effect,n_extreme,n_moderate,metric,configuration
199106,1991,6,confirmatory,2.79609876103848,2.58011268631609,0.0837118765656621,0.215986074722391,8,14,graph_h_0.125,primary_121_reproduction
199107,1991,7,confirmatory,2.77493092612695,2.53096730739908,0.0963914539767685,0.243963618727864,8,15,graph_h_0.125,primary_121_reproduction
199108,1991,8,confirmatory,2.64686844787854,2.54916433113308,0.0383279004622013,0.0977041167454624,8,15,graph_h_0.125,primary_121_reproduction
199206,1992,6,confirmatory,2.53108842089328,2.45854617284679,0.0295061564625769,0.0725422480464872,8,14,graph_h_0.125,primary_121_reproduction
199207,1992,7,confirmatory,2.75175653200131,2.69985807919447,0.0192226595934,0.0518984528068462,8,15,graph_h_0.125,primary_121_reproduction
199208,1992,8,confirmatory,2.59369422226603,2.3748346505072,0.0921578147396864,0.218859571758831,8,15,graph_h_0.125,primary_121_reproduction
199306,1993,6,confirmatory,2.63263675954103,2.88246530371651,-0.0866718304825249,-0.249828544175477,8,14,graph_h_0.125,primary_121_reproduction
199307,1993,7,confirmatory,2.61647711283016,2.42462300143251,0.0791273988922425,0.191854111397656,8,15,graph_h_0.125,primary_121_reproduction
199308,1993,8,confirmatory,2.73016882926544,2.85313181195829,-0.0430975471155863,-0.12296298269285,8,15,graph_h_0.125,primary_121_reproduction
199406,1994,6,confirmatory,2.64677702995725,2.42211584153284,0.0927541055518804,0.224661188424418,8,14,graph_h_0.125,primary_121_reproduction
199407,1994,7,confirmatory,2.66474247614962,2.75828154184065,-0.0339120805008943,-0.0935390656910311,8,15,graph_h_0.125,primary_121_reproduction
199408,1994,8,confirmatory,2.80633856430173,2.65757957083559,0.0559753676234671,0.148758993466138,8,15,graph_h_0.125,primary_121_reproduction
199506,1995,6,confirmatory,3.04838380117538,2.78533275592832,0.0944415149993056,0.263051045247062,8,14,graph_h_0.125,primary_121_reproduction
199507,1995,7,confirmatory,2.58005484601056,2.53175853225655,0.0190761927485095,0.0482963137540096,8,15,graph_h_0.125,primary_121_reproduction
199508,1995,8,confirmatory,2.43026263867017,2.67636226646224,-0.0919530329940655,-0.246099627792074,8,15,graph_h_0.125,primary_121_reproduction
199606,1996,6,confirmatory,2.6946376643016,3.096757498342,-0.12985189646128,-0.402119834040398,8,14,graph_h_0.125,primary_121_reproduction
199607,1996,7,confirmatory,2.44073754061577,2.40296496561059,0.0157191534399181,0.0377725750051807,8,15,graph_h_0.125,primary_121_reproduction
199608,1996,8,confirmatory,2.55322616510279,2.81684530068141,-0.0935866572136049,-0.263619135578625,8,15,graph_h_0.125,primary_121_reproduction
199706,1997,6,confirmatory,2.11361176123473,2.55421427811867,-0.172500216860613,-0.440602516883946,8,14,graph_h_0.125,primary_121_reproduction
199707,1997,7,confirmatory,2.49547446734211,2.33263307139858,0.0698101205629795,0.162841395943528,8,15,graph_h_0.125,primary_121_reproduction
199708,1997,8,confirmatory,2.57112164996339,2.92268424696062,-0.120287573781817,-0.35156259699723,8,15,graph_h_0.125,primary_121_reproduction
199806,1998,6,confirmatory,2.3039710886899,2.64792643298832,-0.129896110410533,-0.343955344298419,8,14,graph_h_0.125,primary_121_reproduction
199807,1998,7,confirmatory,2.69019686889791,2.57616390623134,0.0442646379722749,0.114032962666572,8,15,graph_h_0.125,primary_121_reproduction
199808,1998,8,confirmatory,2.8956471666223,2.67577082626641,0.0821730838072885,0.219876340355887,8,15,graph_h_0.125,primary_121_reproduction
199906,1999,6,confirmatory,2.22450829125282,2.67935092117707,-0.169758513649431,-0.454842629924254,8,14,graph_h_0.125,primary_121_reproduction
