configuration,sites,max_absolute_difference,rmse
dense_465,465,0.0,0.0
latitude_refined,236,0.005002361542674583,0.003840640891682739
longitude_refined,239,0.009293961293065013,0.007279590535580805
primary_121,121,0.0099085563523807,0.0076351131346783
