configuration,analysis_role,year,metric,yearly_relative_effect,months
primary_121_reproduction,confirmatory,1991,graph_h_0.500,0.0841929483340984,3
primary_121_reproduction,confirmatory,1992,graph_h_0.500,0.0290348609692332,3
primary_121_reproduction,confirmatory,1993,graph_h_0.500,-0.00453338941520968,3
primary_121_reproduction,confirmatory,1994,graph_h_0.500,0.0378557097944353,3
primary_121_reproduction,confirmatory,1995,graph_h_0.500,-0.0544034124062945,3
primary_121_reproduction,confirmatory,1996,graph_h_0.500,-0.0631009536661938,3
primary_121_reproduction,confirmatory,1997,graph_h_0.500,-0.137180895383379,3
primary_121_reproduction,confirmatory,1998,graph_h_0.500,-0.00254242751817039,3
primary_121_reproduction,confirmatory,1999,graph_h_0.500,-0.166321158710422,3
primary_121_reproduction,confirmatory,2000,graph_h_0.500,-0.167465437590462,3
primary_121_reproduction,confirmatory,2001,graph_h_0.500,-0.0834092261189117,3
primary_121_reproduction,confirmatory,2002,graph_h_0.500,0.0325062604442609,3
primary_121_reproduction,confirmatory,2003,graph_h_0.500,-0.00461815918625523,3
primary_121_reproduction,confirmatory,2004,graph_h_0.500,-0.0316132102774928,3
primary_121_reproduction,confirmatory,2005,graph_h_0.500,-0.0898728835853461,3
primary_121_reproduction,confirmatory,2006,graph_h_0.500,-0.0871037914247257,3
primary_121_reproduction,confirmatory,2007,graph_h_0.500,0.0107483058646035,3
primary_121_reproduction,confirmatory,2008,graph_h_0.500,-0.0184360023692081,3
primary_121_reproduction,confirmatory,2009,graph_h_0.500,-0.105173919999569,3
primary_121_reproduction,confirmatory,2010,graph_h_0.500,-0.0411858363557338,3
primary_121_reproduction,confirmatory,2011,graph_h_0.500,-0.0451852321237033,3
primary_121_reproduction,confirmatory,2012,graph_h_0.500,-0.300720077034795,3
primary_121_reproduction,confirmatory,2013,graph_h_0.500,-0.0343228410880723,3
primary_121_reproduction,confirmatory,2014,graph_h_0.500,0.0183011762108161,3
primary_121_reproduction,discovery,2015,graph_h_0.500,-0.222762001960002,3
primary_121_reproduction,confirmatory,2016,graph_h_0.500,0.072061364704756,3
primary_121_reproduction,confirmatory,2017,graph_h_0.500,-0.0459666813863097,3
primary_121_reproduction,confirmatory,2018,graph_h_0.500,-0.13352527857057,3
primary_121_reproduction,confirmatory,2019,graph_h_0.500,-0.085576823691723,3
primary_121_reproduction,confirmatory,2020,graph_h_0.500,-0.0584645738217082,3
primary_121_reproduction,confirmatory,2021,graph_h_0.500,-0.0706766462904366,3
primary_121_reproduction,discovery,2022,graph_h_0.500,-0.0860933695694479,3
primary_121_reproduction,confirmatory,2023,graph_h_0.500,-0.216359272784758,3
primary_121_reproduction,confirmatory,2024,graph_h_0.500,0.000943782034089513,3
primary_121_reproduction,confirmatory,2025,graph_h_0.500,-0.187091558216333,3
primary_121_reproduction,confirmatory,1991,graph_h_1.000,0.0417117272560608,3
primary_121_reproduction,confirmatory,1992,graph_h_1.000,-0.0203328681289328,3
primary_121_reproduction,confirmatory,1993,graph_h_1.000,-0.038708334470154,3
primary_121_reproduction,confirmatory,1994,graph_h_1.000,-0.0169828077791283,3
primary_121_reproduction,confirmatory,1995,graph_h_1.000,-0.0962045925376288,3
primary_121_reproduction,confirmatory,1996,graph_h_1.000,-0.125820438205429,3
primary_121_reproduction,confirmatory,1997,graph_h_1.000,-0.175340087279023,3
primary_121_reproduction,confirmatory,1998,graph_h_1.000,-0.0353998162898706,3
primary_121_reproduction,confirmatory,1999,graph_h_1.000,-0.204904293245615,3
primary_121_reproduction,confirmatory,2000,graph_h_1.000,-0.219024916249228,3
primary_121_reproduction,confirmatory,2001,graph_h_1.000,-0.121156899890625,3
primary_121_reproduction,confirmatory,2002,graph_h_1.000,0.021115790491806,3
primary_121_reproduction,confirmatory,2003,graph_h_1.000,-0.0699852807298193,3
primary_121_reproduction,confirmatory,2004,graph_h_1.000,-0.0975191114757789,3
primary_121_reproduction,confirmatory,2005,graph_h_1.000,-0.144506192413499,3
primary_121_reproduction,confirmatory,2006,graph_h_1.000,-0.137148251828097,3
primary_121_reproduction,confirmatory,2007,graph_h_1.000,-0.0777551608583045,3
primary_121_reproduction,confirmatory,2008,graph_h_1.000,-0.0632149565716336,3
primary_121_reproduction,confirmatory,2009,graph_h_1.000,-0.144531858280785,3
primary_121_reproduction,confirmatory,2010,graph_h_1.000,-0.0975469252224267,3
primary_121_reproduction,confirmatory,2011,graph_h_1.000,-0.109016879809026,3
primary_121_reproduction,confirmatory,2012,graph_h_1.000,-0.350954295420709,3
primary_121_reproduction,confirmatory,2013,graph_h_1.000,-0.0782294775280758,3
primary_121_reproduction,confirmatory,2014,graph_h_1.000,0.00178584752558253,3
primary_121_reproduction,discovery,2015,graph_h_1.000,-0.270982009165672,3
primary_121_reproduction,confirmatory,2016,graph_h_1.000,0.033733014721231,3
primary_121_reproduction,confirmatory,2017,graph_h_1.000,-0.0928970639913199,3
primary_121_reproduction,confirmatory,2018,graph_h_1.000,-0.194482989369863,3
primary_121_reproduction,confirmatory,2019,graph_h_1.000,-0.112835521990277,3
primary_121_reproduction,confirmatory,2020,graph_h_1.000,-0.0954080150388675,3
primary_121_reproduction,confirmatory,2021,graph_h_1.000,-0.102657020283417,3
primary_121_reproduction,discovery,2022,graph_h_1.000,-0.167342055529631,3
primary_121_reproduction,confirmatory,2023,graph_h_1.000,-0.248661974113392,3
primary_121_reproduction,confirmatory,2024,graph_h_1.000,-0.0467310231454676,3
primary_121_reproduction,confirmatory,2025,graph_h_1.000,-0.226060017623232,3
primary_121_reproduction,confirmatory,1991,graph_h_2.000,0.00476602527898122,3
primary_121_reproduction,confirmatory,1992,graph_h_2.000,-0.0581011831111128,3
primary_121_reproduction,confirmatory,1993,graph_h_2.000,-0.0660195098865776,3
primary_121_reproduction,confirmatory,1994,graph_h_2.000,-0.0563155769334124,3
primary_121_reproduction,confirmatory,1995,graph_h_2.000,-0.112490023908593,3
primary_121_reproduction,confirmatory,1996,graph_h_2.000,-0.167077416799533,3
primary_121_reproduction,confirmatory,1997,graph_h_2.000,-0.194345686215408,3
primary_121_reproduction,confirmatory,1998,graph_h_2.000,-0.0559452349536853,3
primary_121_reproduction,confirmatory,1999,graph_h_2.000,-0.230091754517891,3
primary_121_reproduction,confirmatory,2000,graph_h_2.000,-0.247377560048217,3
primary_121_reproduction,confirmatory,2001,graph_h_2.000,-0.14749520067324,3
primary_121_reproduction,confirmatory,2002,graph_h_2.000,0.00320405963573648,3
primary_121_reproduction,confirmatory,2003,graph_h_2.000,-0.107550495832481,3
primary_121_reproduction,confirmatory,2004,graph_h_2.000,-0.140621618443219,3
primary_121_reproduction,confirmatory,2005,graph_h_2.000,-0.179936731886117,3
primary_121_reproduction,confirmatory,2006,graph_h_2.000,-0.162034166532425,3
primary_121_reproduction,confirmatory,2007,graph_h_2.000,-0.129902713298719,3
primary_121_reproduction,confirmatory,2008,graph_h_2.000,-0.0871064283547263,3
primary_121_reproduction,confirmatory,2009,graph_h_2.000,-0.165158861868197,3
primary_121_reproduction,confirmatory,2010,graph_h_2.000,-0.13640810627073,3
primary_121_reproduction,confirmatory,2011,graph_h_2.000,-0.147535277986025,3
primary_121_reproduction,confirmatory,2012,graph_h_2.000,-0.368772823025265,3
primary_121_reproduction,confirmatory,2013,graph_h_2.000,-0.103115759533403,3
primary_121_reproduction,confirmatory,2014,graph_h_2.000,-0.0151949744178097,3
primary_121_reproduction,discovery,2015,graph_h_2.000,-0.294670783324594,3
primary_121_reproduction,confirmatory,2016,graph_h_2.000,0.00921937264496079,3
primary_121_reproduction,confirmatory,2017,graph_h_2.000,-0.123913023594376,3
primary_121_reproduction,confirmatory,2018,graph_h_2.000,-0.238572654384405,3
primary_121_reproduction,confirmatory,2019,graph_h_2.000,-0.13473272799304,3
primary_121_reproduction,confirmatory,2020,graph_h_2.000,-0.110692926965527,3
primary_121_reproduction,confirmatory,2021,graph_h_2.000,-0.123817852106259,3
primary_121_reproduction,discovery,2022,graph_h_2.000,-0.209148020318669,3
primary_121_reproduction,confirmatory,2023,graph_h_2.000,-0.266831708495351,3
primary_121_reproduction,confirmatory,2024,graph_h_2.000,-0.0733623729547703,3
primary_121_reproduction,confirmatory,2025,graph_h_2.000,-0.245243721205917,3
dense_465_fixed_labels,confirmatory,1991,graph_h_0.125,0.0499467905861201,3
dense_465_fixed_labels,confirmatory,1992,graph_h_0.125,0.0109830986150133,3
dense_465_fixed_labels,confirmatory,1993,graph_h_0.125,-0.0207215043648661,3
dense_465_fixed_labels,confirmatory,1994,graph_h_0.125,0.012662678446693,3
dense_465_fixed_labels,confirmatory,1995,graph_h_0.125,0.0012330519374899,3
dense_465_fixed_labels,confirmatory,1996,graph_h_0.125,-0.0698913013995399,3
dense_465_fixed_labels,confirmatory,1997,graph_h_0.125,-0.0852283980438966,3
dense_465_fixed_labels,confirmatory,1998,graph_h_0.125,0.0156816834742746,3
dense_465_fixed_labels,confirmatory,1999,graph_h_0.125,-0.0960530460975086,3
dense_465_fixed_labels,confirmatory,2000,graph_h_0.125,-0.112819210249147,3
dense_465_fixed_labels,confirmatory,2001,graph_h_0.125,-0.0774657014449348,3
dense_465_fixed_labels,confirmatory,2002,graph_h_0.125,0.0158112324664191,3
dense_465_fixed_labels,confirmatory,2003,graph_h_0.125,-0.00816437465985472,3
dense_465_fixed_labels,confirmatory,2004,graph_h_0.125,-0.01195624069133,3
dense_465_fixed_labels,confirmatory,2005,graph_h_0.125,-0.0518204849223004,3
dense_465_fixed_labels,confirmatory,2006,graph_h_0.125,-0.0242878890802331,3
dense_465_fixed_labels,confirmatory,2007,graph_h_0.125,0.0641993307720588,3
dense_465_fixed_labels,confirmatory,2008,graph_h_0.125,0.0253403465541564,3
dense_465_fixed_labels,confirmatory,2009,graph_h_0.125,-0.0626979323017806,3
dense_465_fixed_labels,confirmatory,2010,graph_h_0.125,-0.0226833731735725,3
dense_465_fixed_labels,confirmatory,2011,graph_h_0.125,-0.0260293092789178,3
dense_465_fixed_labels,confirmatory,2012,graph_h_0.125,-0.149629563699142,3
dense_465_fixed_labels,confirmatory,2013,graph_h_0.125,-0.0123898550426083,3
dense_465_fixed_labels,confirmatory,2014,graph_h_0.125,0.0135390828749688,3
dense_465_fixed_labels,discovery,2015,graph_h_0.125,-0.135833261037218,3
dense_465_fixed_labels,confirmatory,2016,graph_h_0.125,0.0574759889913635,3
dense_465_fixed_labels,confirmatory,2017,graph_h_0.125,-0.0346330516542852,3
dense_465_fixed_labels,confirmatory,2018,graph_h_0.125,-0.0835394693314464,3
dense_465_fixed_labels,confirmatory,2019,graph_h_0.125,-0.107803652219441,3
dense_465_fixed_labels,confirmatory,2020,graph_h_0.125,-0.00670844546955796,3
dense_465_fixed_labels,confirmatory,2021,graph_h_0.125,-0.0744079169324955,3
dense_465_fixed_labels,discovery,2022,graph_h_0.125,0.0363207354806217,3
dense_465_fixed_labels,confirmatory,2023,graph_h_0.125,-0.137840191025923,3
dense_465_fixed_labels,confirmatory,2024,graph_h_0.125,0.000692043150954576,3
dense_465_fixed_labels,confirmatory,2025,graph_h_0.125,-0.111146128063346,3
dense_465_fixed_labels,confirmatory,1991,graph_h_0.250,0.0716173215517814,3
dense_465_fixed_labels,confirmatory,1992,graph_h_0.250,0.0149830760279537,3
dense_465_fixed_labels,confirmatory,1993,graph_h_0.250,-0.0193365201691849,3
dense_465_fixed_labels,confirmatory,1994,graph_h_0.250,0.01086521368516,3
dense_465_fixed_labels,confirmatory,1995,graph_h_0.250,-0.0258301169118979,3
dense_465_fixed_labels,confirmatory,1996,graph_h_0.250,-0.0602052587253368,3
dense_465_fixed_labels,confirmatory,1997,graph_h_0.250,-0.106674079504035,3
dense_465_fixed_labels,confirmatory,1998,graph_h_0.250,0.00875518020162473,3
dense_465_fixed_labels,confirmatory,1999,graph_h_0.250,-0.121894941158071,3
dense_465_fixed_labels,confirmatory,2000,graph_h_0.250,-0.144312244623865,3
dense_465_fixed_labels,confirmatory,2001,graph_h_0.250,-0.0846103847793506,3
dense_465_fixed_labels,confirmatory,2002,graph_h_0.250,0.0214911481523172,3
dense_465_fixed_labels,confirmatory,2003,graph_h_0.250,-0.0128152493791489,3
dense_465_fixed_labels,confirmatory,2004,graph_h_0.250,-0.0262478541399337,3
dense_465_fixed_labels,confirmatory,2005,graph_h_0.250,-0.0671337732354167,3
dense_465_fixed_labels,confirmatory,2006,graph_h_0.250,-0.0499075442390969,3
dense_465_fixed_labels,confirmatory,2007,graph_h_0.250,0.0458216869642116,3
dense_465_fixed_labels,confirmatory,2008,graph_h_0.250,0.00090769907447293,3
dense_465_fixed_labels,confirmatory,2009,graph_h_0.250,-0.0800794003524572,3
dense_465_fixed_labels,confirmatory,2010,graph_h_0.250,-0.0276661743579053,3
dense_465_fixed_labels,confirmatory,2011,graph_h_0.250,-0.0285129956260552,3
dense_465_fixed_labels,confirmatory,2012,graph_h_0.250,-0.216263576282759,3
dense_465_fixed_labels,confirmatory,2013,graph_h_0.250,-0.024395178245227,3
dense_465_fixed_labels,confirmatory,2014,graph_h_0.250,0.0252066577529311,3
dense_465_fixed_labels,discovery,2015,graph_h_0.250,-0.170732461470316,3
dense_465_fixed_labels,confirmatory,2016,graph_h_0.250,0.0660062132804619,3
dense_465_fixed_labels,confirmatory,2017,graph_h_0.250,-0.0378693077094157,3
dense_465_fixed_labels,confirmatory,2018,graph_h_0.250,-0.104374702134981,3
dense_465_fixed_labels,confirmatory,2019,graph_h_0.250,-0.105989560398667,3
dense_465_fixed_labels,confirmatory,2020,graph_h_0.250,-0.0223363622057612,3
dense_465_fixed_labels,confirmatory,2021,graph_h_0.250,-0.0735693006704234,3
dense_465_fixed_labels,discovery,2022,graph_h_0.250,-0.008047519879633,3
dense_465_fixed_labels,confirmatory,2023,graph_h_0.250,-0.172390954954272,3
dense_465_fixed_labels,confirmatory,2024,graph_h_0.250,-0.00460610964175271,3
dense_465_fixed_labels,confirmatory,2025,graph_h_0.250,-0.147854985302618,3
dense_465_fixed_labels,confirmatory,1991,graph_h_0.500,0.0796573748085807,3
dense_465_fixed_labels,confirmatory,1992,graph_h_0.500,0.0072900411915191,3
dense_465_fixed_labels,confirmatory,1993,graph_h_0.500,-0.0218081458245445,3
dense_465_fixed_labels,confirmatory,1994,graph_h_0.500,-0.00565263087530188,3
dense_465_fixed_labels,confirmatory,1995,graph_h_0.500,-0.0741735096568307,3
dense_465_fixed_labels,confirmatory,1996,graph_h_0.500,-0.0682327789300858,3
dense_465_fixed_labels,confirmatory,1997,graph_h_0.500,-0.140038954727855,3
dense_465_fixed_labels,confirmatory,1998,graph_h_0.500,-0.00874361553871276,3
dense_465_fixed_labels,confirmatory,1999,graph_h_0.500,-0.155423020875327,3
dense_465_fixed_labels,confirmatory,2000,graph_h_0.500,-0.183740848418757,3
dense_465_fixed_labels,confirmatory,2001,graph_h_0.500,-0.0964451788152712,3
dense_465_fixed_labels,confirmatory,2002,graph_h_0.500,0.0360668338887284,3
dense_465_fixed_labels,confirmatory,2003,graph_h_0.500,-0.0267190462551097,3
dense_465_fixed_labels,confirmatory,2004,graph_h_0.500,-0.0555776050763398,3
dense_465_fixed_labels,confirmatory,2005,graph_h_0.500,-0.0988884523380463,3
dense_465_fixed_labels,confirmatory,2006,graph_h_0.500,-0.0923293155603793,3
dense_465_fixed_labels,confirmatory,2007,graph_h_0.500,0.00598825976246216,3
dense_465_fixed_labels,confirmatory,2008,graph_h_0.500,-0.0379486134507045,3
dense_465_fixed_labels,confirmatory,2009,graph_h_0.500,-0.1132998185451,3
