file,date,n_sites,wbt_mean,spatial_variance,lambda_weighted,graph_h_0.125,graph_h_0.250,graph_h_0.500,graph_h_1.000,graph_h_2.000
era5_201506_consistent.csv,2015-06-01,121,19.7848986618563,36.1017903505047,13.6673703895535,3.49072080993267,6.24073943064267,13.1862672365815,24.7202207585074,32.6587136997191
era5_201506_consistent.csv,2015-06-02,121,19.1994717306641,44.7918671249184,16.1747017244617,3.28851904514172,6.57874180691409,15.5939272357585,30.5033891392651,40.5062756317343
era5_201506_consistent.csv,2015-06-03,121,17.9551800995447,33.3151026991601,9.35109330638087,3.13780248722738,5.38882463827329,10.6223158449679,21.0898844657555,29.4387220767976
era5_201506_consistent.csv,2015-06-04,121,17.0130946750694,31.1268312113462,10.127850306493,3.2277927843869,5.60964077452606,11.079291370559,20.7074315945819,27.9020675015552
era5_201506_consistent.csv,2015-06-05,121,17.6096588725022,22.7536122531024,7.20048916156224,3.02009614923674,4.91067003453951,8.90360455563925,15.43840184464,20.4282927778741
era5_201506_consistent.csv,2015-06-06,121,18.4469366781745,29.4065681323556,10.959353130718,3.41311880820273,5.73150788819463,11.0203282832228,19.8224648156472,26.4100587191099
era5_201506_consistent.csv,2015-06-07,121,18.4825789760714,34.6977465196682,12.167860539386,3.27323010033015,6.10908163689759,12.7399715759913,23.4058756056648,31.2076236456319
era5_201506_consistent.csv,2015-06-08,121,18.2660966923522,28.9653989787376,8.52233084080212,3.17436807563766,5.43373928827047,10.6164528209438,19.5815126284957,26.0802281299701
era5_201506_consistent.csv,2015-06-09,121,19.3365829581258,19.6019164132422,5.90946234790701,2.19227761957802,3.80514783675507,7.30590459977828,13.116239470981,17.549081213268
era5_201506_consistent.csv,2015-06-10,121,19.4415000075699,36.3817869981427,14.5492854414592,3.74114187254135,7.09484203674881,15.232535630804,26.9332827492044,33.7569641155037
era5_201506_consistent.csv,2015-06-11,121,17.9861497587616,28.5028080820297,8.52548869239325,2.92594715876854,4.94107389491794,10.1890877571243,19.637863499972,25.9063070446719
era5_201506_consistent.csv,2015-06-12,121,18.4196976519598,27.8352600969336,9.05714607874977,2.47053007025913,4.28351138455199,9.53140967957036,18.8924791995581,25.1825621767338
era5_201506_consistent.csv,2015-06-13,121,19.0217901609349,24.5379153658348,7.64668783437763,2.84986010673711,4.83969785102228,9.62385629433744,17.4248407384375,22.4656820909034
era5_201506_consistent.csv,2015-06-14,121,19.4832441385947,20.8758964856494,6.47543113784098,2.28791949976776,3.87259356756058,7.72046438816771,14.3592869904755,18.9216276319054
era5_201506_consistent.csv,2015-06-15,121,20.3895968583583,17.0740865782439,5.06114304145291,1.89982096913492,3.0612131238411,6.15153101335645,11.7728152012074,15.5112805557992
era5_201506_consistent.csv,2015-06-16,121,20.7216883459883,16.50127488035,5.16960134687895,2.04962750283461,3.30487780294601,6.43971296805507,11.7533570410777,15.1324209576874
era5_201506_consistent.csv,2015-06-17,121,20.4371389119068,16.559914435345,5.53330724637473,2.37768808943775,3.71147092214917,6.57089047935243,11.6072117249332,15.0907213925811
era5_201506_consistent.csv,2015-06-18,121,19.2687155524112,25.7572141339195,8.82235328995792,2.87975782007873,5.01339097973294,9.59588344778226,17.1597890184653,23.0438960433998
era5_201506_consistent.csv,2015-06-19,121,19.5233374504971,24.6264143415632,9.08002537189407,2.65962372243774,4.90333631157894,9.77831180670235,17.0883650765041,22.3190872358349
era5_201506_consistent.csv,2015-06-20,121,19.6527395796017,24.1546615999325,8.13068177911842,2.3265272943381,3.93321530552438,8.33689382782639,16.3728637666606,21.8504680142555
era5_201506_consistent.csv,2015-06-21,121,19.7505671663771,19.1443318833176,6.01160002546939,2.23982556248352,3.68223893792325,6.97251782555111,12.8638636671493,17.2186321564974
era5_201506_consistent.csv,2015-06-22,121,20.7260293466982,15.3589574474659,4.70970312073518,1.61759714389797,2.69045872469893,5.24087946433622,10.097103323468,13.7346511196078
era5_201506_consistent.csv,2015-06-23,121,21.4869692460995,15.7350814000023,5.48659671254465,2.18860366653549,3.5028221534375,6.53242989700924,11.4060427938676,14.4815236205458
era5_201506_consistent.csv,2015-06-24,121,21.5019682692866,16.9424678191592,5.51624178839045,2.03068857630336,3.45107074101415,7.06322502916378,12.5728870194982,15.7399950908771
