metric,h_factor,bandwidth_km,weight_sum,lambda_2,lambda_max,mean_extreme,mean_moderate,delta,relative_delta,z_score,unadjusted_p,fwer_p,record_mean_relative,record_ci_lower,record_ci_upper,omnibus_statistic,omnibus_p,shift_B
graph_h_0.125,0.125,125.7997650313,118.061929826887,0.0327756076447349,3.2459049957734,2.59464700562962,2.73109210843735,-0.136445102807728,-0.0499599051918457,-1.10429735984129,0.1418,0.342,-0.0447798268026587,-0.182609345345103,0.0930496917397853,-0.155301068739773,0.0045,9999
graph_h_0.250,0.25,251.5995300626,558.98358917478,0.501428857607416,13.2454071700556,4.119397533069,4.5361223250254,-0.416724791956408,-0.0918680675028036,-1.68422209059935,0.0374,0.1861,-0.0865648986665649,-0.221965198376786,0.0488354010436567,-0.155301068739773,0.0045,9999
graph_h_0.500,0.5,503.199060125199,1841.3555450608,5.86545589436247,44.4817816931291,7.11050911140655,8.45484191358517,-1.34433280217862,-0.159001530237787,-2.24128422011208,0.0047,0.0454,-0.154427874532772,-0.294088296995482,-0.0147674520700619,-0.155301068739773,0.0045,9999
graph_h_1.000,1,1006.3981202504,4204.70373024677,35.2358350839125,87.7752418712087,10.8256613823398,13.9143185443993,-3.08865716205949,-0.221976890366845,-2.43661550505206,9e-04,0.0043,-0.219162139530414,-0.371138547359708,-0.0671857317011209,-0.155301068739773,0.0045,9999
graph_h_2.000,2,2012.7962405008,6161.12627485358,83.1043637600034,111.00005602106,12.8929408512746,17.2757908597044,-4.38285000842971,-0.253698950399583,-2.48383596813363,7e-04,7e-04,-0.251909528061548,-0.411919635201356,-0.0918994209217402,-0.155301068739773,0.0045,9999
