simulation,delta,p_value,rejects_05
418,0.286077029971182,0.945,FALSE
419,-0.128165152213329,0.268,FALSE
420,0.253307663352881,0.924,FALSE
421,-0.0241868072175709,0.48,FALSE
422,-0.13514220503417,0.269,FALSE
423,0.117252860282598,0.713,FALSE
424,0.15190004064551,0.787,FALSE
425,-0.218843877703879,0.146,FALSE
426,0.105644128432019,0.684,FALSE
427,-0.191992733606933,0.213,FALSE
428,0.255015752533232,0.913,FALSE
429,0.0799152161303733,0.664,FALSE
430,0.074838023795326,0.718,FALSE
431,-0.278274993543072,0.059,FALSE
432,-0.163120308969829,0.22,FALSE
433,-0.0726918076710866,0.36,FALSE
434,-0.13148036413388,0.258,FALSE
435,-0.370526969168552,0.06,FALSE
436,0.100231484653146,0.672,FALSE
437,-0.068832779208172,0.346,FALSE
438,-0.395200517726906,0.025,TRUE
439,0.113706595149059,0.704,FALSE
440,0.347181910991789,0.981,FALSE
441,-0.0150487373680514,0.496,FALSE
442,0.26580413593544,0.911,FALSE
443,0.0776098738946335,0.643,FALSE
444,-0.335517236087844,0.033,TRUE
445,-0.178548691253685,0.157,FALSE
446,-0.155242802217367,0.219,FALSE
447,-0.134122935052843,0.225,FALSE
448,0.453225261008582,0.993,FALSE
449,-0.422339482067028,0.015,TRUE
450,-0.320377936931927,0.068,FALSE
451,-0.0126475318561225,0.493,FALSE
452,0.179479873736965,0.779,FALSE
453,-0.0131942445862473,0.475,FALSE
454,0.0735166199023189,0.639,FALSE
455,-0.190084410169084,0.194,FALSE
456,-0.0271179801790697,0.44,FALSE
457,0.0121564865970755,0.554,FALSE
458,-0.0196556248574835,0.453,FALSE
459,0.0294543977630358,0.566,FALSE
460,-0.227433140891108,0.131,FALSE
461,0.416339036714438,0.99,FALSE
462,-0.223744251687272,0.131,FALSE
463,0.0375462404837517,0.649,FALSE
464,-0.0217270046939024,0.464,FALSE
465,0.22526121276819,0.865,FALSE
466,-0.108668979597555,0.277,FALSE
467,0.0721632154090448,0.633,FALSE
468,-0.0879928843382594,0.32,FALSE
469,-0.389504623602525,0.04,TRUE
470,0.0815652729246239,0.698,FALSE
471,0.00761178352090325,0.495,FALSE
472,0.157794029770544,0.771,FALSE
473,-0.0303204568518646,0.441,FALSE
474,0.339698461479852,0.936,FALSE
475,-0.12465825028073,0.283,FALSE
476,0.225380239648007,0.9,FALSE
