year,month,threshold_c,high,middle,difference,outcome
1991,6,9.5,0.99460000667039,0.9967325339474616,-0.002132527277071694,A
1991,6,9.75,0.9926349829798733,0.9960605334621879,-0.003425550482314632,A
1991,6,10.0,0.9905539878161265,0.9951682756936734,-0.004614287877546919,A
1991,6,10.25,0.9893848905596185,0.9940454812411789,-0.004660590681560328,A
1991,6,10.5,0.9875473538843693,0.9929982867960622,-0.005450932911692852,A
1991,6,10.75,0.9853304403503637,0.9908921391858299,-0.0055616988354662,A
1991,6,11.0,0.9833613335859009,0.9885973721512942,-0.005236038565393231,A
1991,6,11.25,0.9802187327794399,0.9855862381841626,-0.005367505404722639,A
1991,6,11.5,0.9763010311462502,0.9811980678353637,-0.004897036689113454,A
1991,6,11.75,0.974061648843124,0.9774003560152444,-0.003338707172120481,A
1991,6,12.0,0.9699963798515284,0.9734649820715167,-0.003468602219988237,A
1991,6,12.25,0.9662871754835414,0.9682576717199937,-0.0019704962364522904,A
1991,6,12.5,0.9630969527878054,0.9617565581922819,0.0013403945955234864,A
1991,6,12.75,0.9574584439606775,0.9545958736861965,0.002862570274481002,A
1991,6,13.0,0.9537559291686644,0.9461771667510902,0.007578762417574159,A
1991,6,13.25,0.9481739533592188,0.9372113252322273,0.010962628126991558,A
1991,6,13.5,0.9406809715627251,0.9267729469649104,0.013908024597814705,A
1991,6,13.75,0.9329155977097127,0.9174394650252296,0.015476132684483113,A
1991,6,14.0,0.9263049021865511,0.9061421631952109,0.020162738991340245,A
1991,6,14.25,0.9190067007076519,0.8943753658987043,0.024631334808947636,A
1991,6,14.5,0.9130675437338351,0.8825987640068574,0.0304687797269777,A
1991,6,14.75,0.9082355516889161,0.8718272958003952,0.036408255888520924,A
1991,6,15.0,0.9005294494208471,0.8623349495915306,0.03819449982931655,A
1991,6,15.25,0.8918950664784225,0.8511148543843293,0.040780212094093216,A
1991,6,15.5,0.8857445018868642,0.8427205708703713,0.04302393101649282,A
1991,6,15.75,0.8773137054914131,0.8316952293985205,0.0456184760928926,A
1991,6,16.0,0.8689142704956327,0.8218850987038594,0.04702917179177335,A
1991,6,16.25,0.8606330643687906,0.8134470172305868,0.047186047138203846,A
1991,6,16.5,0.8544994752670936,0.805114702588771,0.04938477267832253,A
1991,6,16.75,0.8429215439949989,0.7939020241361152,0.04901951985888364,A
1991,6,17.0,0.8333607977912091,0.7824927973833404,0.05086800040786865,A
1991,6,17.25,0.824193342055382,0.7724199455632554,0.05177339649212653,A
1991,6,17.5,0.8165902910159344,0.7623013629054369,0.05428892811049746,A
1991,6,17.75,0.8066739786006761,0.7514446105268132,0.05522936807386292,A
1991,6,18.0,0.7974178348270329,0.7377239432488728,0.059693891578160074,A
1991,6,18.25,0.7861042153204733,0.7251443426869925,0.060959872633480794,A
1991,6,18.5,0.7775833581604192,0.7124353857268091,0.06514797243361015,A
1991,6,18.75,0.7672642243131546,0.6970706195764725,0.07019360473668201,A
1991,6,19.0,0.7588551166310743,0.6811657266521733,0.07768938997890096,A
1991,6,19.25,0.7503746660621491,0.6681086333751793,0.08226603268696975,A
1991,6,19.5,0.7422934125857485,0.6543385798332387,0.08795483275250982,A
1991,6,19.75,0.7305336986910917,0.6371147731975695,0.09341892549352226,A
1991,6,20.0,0.721241801649955,0.6201546076254283,0.1010871940245267,A
1991,6,20.25,0.7102578947662112,0.6004562554476445,0.10980163931856668,A
1991,6,20.5,0.7023300647120252,0.5825005976182175,0.1198294670938077,A
1991,6,20.75,0.6919333971112345,0.5580816139080413,0.13385178320319313,A
1991,6,21.0,0.6742930739821548,0.5301615027450406,0.14413157123711418,A
1991,6,21.25,0.6621030257396303,0.5048094325317544,0.15729359320787595,A
1991,6,21.5,0.6499048097737496,0.47953338022660497,0.17037142954714468,A
1991,6,21.75,0.6321670283268707,0.4565562647795381,0.17561076354733257,A
1991,6,22.0,0.618912955523775,0.42907383784435166,0.18983911767942335,A
