year,method,outcome,subset,mae,offset
1995,graph,A_new344,high,0.009272025937341128,0
1995,graph,C,all,0.013449591745262519,0
1995,graph,C,high,0.012982398117211153,0
1995,interpolation,A,all,0.013772917021467972,0
1995,interpolation,A,high,0.013528160614964037,0
1995,interpolation,A_new344,all,0.01833052749400125,0
1995,interpolation,A_new344,high,0.018004778487326758,0
1995,interpolation,C,all,0.017271787213118065,0
1995,interpolation,C,high,0.01693887308677405,0
1995,mean,A,all,0.02654125943171226,0
1995,mean,A,high,0.02672142562442139,0
1995,mean,A_new344,all,0.02689376556479232,0
1995,mean,A_new344,high,0.027074737353600255,0
1995,mean,C,all,0.02951366754941403,0
1995,mean,C,high,0.029566643262576166,0
1995,simple,A,all,0.00795582957617348,0
1995,simple,A,high,0.007604910468550006,0
1995,simple,A_new344,all,0.009868845772032163,0
1995,simple,A_new344,high,0.009426943620698541,0
1995,simple,C,all,0.013534129008997767,0
1995,simple,C,high,0.013143367681192425,0
1995,variogram,A,all,0.007869535325440777,0
1995,variogram,A,high,0.0075189234835593075,0
1995,variogram,A_new344,all,0.00974865281412071,0
1995,variogram,A_new344,high,0.00920959328636336,0
1995,variogram,C,all,0.013378959448379284,0
1995,variogram,C,high,0.013215911516202779,0
1996,graph,A,all,0.007904671761383573,0
1996,graph,A,high,0.006842588876875905,0
1996,graph,A_new344,all,0.00988081417399468,0
1996,graph,A_new344,high,0.008621933721911798,0
1996,graph,C,all,0.01287522276517588,0
1996,graph,C,high,0.011834388479143176,0
1996,interpolation,A,all,0.013645840643911637,0
1996,interpolation,A,high,0.014333724166430802,0
1996,interpolation,A_new344,all,0.018161400138554055,0
1996,interpolation,A_new344,high,0.019076911921755382,0
1996,interpolation,C,all,0.017385572932078576,0
1996,interpolation,C,high,0.017702517135364804,0
1996,mean,A,all,0.026725988649325308,0
1996,mean,A,high,0.01760172654313182,0
1996,mean,A_new344,all,0.027029374292006452,0
1996,mean,A_new344,high,0.01784559457982551,0
1996,mean,C,all,0.029184961555405755,0
1996,mean,C,high,0.020134089249948844,0
1996,simple,A,all,0.00796453141689867,0
1996,simple,A,high,0.006854074369603829,0
1996,simple,A_new344,all,0.009954288391219146,0
1996,simple,A_new344,high,0.008607431465984647,0
1996,simple,C,all,0.013040674069610745,0
1996,simple,C,high,0.011738870603447582,0
1996,variogram,A,all,0.007827780219728268,0
1996,variogram,A,high,0.006861170508894548,0
1996,variogram,A_new344,all,0.009780627025360686,0
1996,variogram,A_new344,high,0.00859417735185917,0
1996,variogram,C,all,0.012817018614478577,0
1996,variogram,C,high,0.011838433597316182,0
1997,graph,A,all,0.007802415240238077,0
1997,graph,A,high,0.007138809967872813,0
1997,graph,A_new344,all,0.00973971125952189,0
1997,graph,A_new344,high,0.00911702829032419,0
1997,graph,C,all,0.013880900275837082,0
1997,graph,C,high,0.012620464790461444,0
1997,interpolation,A,all,0.013911142171654834,0
1997,interpolation,A,high,0.013699530765696343,0
1997,interpolation,A_new344,all,0.01851449287416823,0
1997,interpolation,A_new344,high,0.018232856915066736,0
1997,interpolation,C,all,0.018279425139634563,0
1997,interpolation,C,high,0.018249846452191163,0
1997,mean,A,all,0.029502189269019884,0
1997,mean,A,high,0.023457557645725397,0
1997,mean,A_new344,all,0.029746909580618788,0
1997,mean,A_new344,high,0.023910419234931722,0
