dense_site_id,lon,lat,original_site_id,is_original_site,row,col,land_area_km2,cell_area_km2,land_fraction,weight,coslat_weight
1,105.0,20.4,1.0,True,0,0,3928.345056793274,3928.345056793274,1.0,0.0012196272640300613,0.002402448739731936
2,105.0,21.3,,False,1,0,4135.843352151581,4135.843352151581,1.0,0.0012840489415049355,0.0023881184538130577
3,105.0,22.2,2.0,True,2,0,4110.600077697388,4110.600077697388,1.0,0.0012762117008062127,0.0023731989353998843
4,105.0,23.1,,False,3,0,4084.354354645462,4084.354354645462,1.0,0.001268063231429024,0.002357693865660339
5,105.0,24.0,3.0,True,4,0,4057.1113879657137,4057.1113879657137,1.0,0.0012596051493523933,0.0023416070702383727
6,105.0,24.9,,False,5,0,4028.876604980057,4028.876604980057,1.0,0.0012508391395886305,0.0023249425183100437
7,105.0,25.8,4.0,True,6,0,3999.655656836517,3999.655656836517,1.0,0.0012417669566409946,0.0023077043216041832
8,105.0,26.7,,False,7,0,3969.454419977493,3969.454419977493,1.0,0.0012323904249595431,0.002289896733387888
9,105.0,27.6,5.0,True,8,0,3938.2789975950163,3938.2789975950163,1.0,0.0012227114393929444,0.00227152414741709
10,105.0,28.5,,False,9,0,3906.1357210666506,3906.1357210666506,1.0,0.0012127319656342788,0.0022525910968524618
11,105.0,29.4,6.0,True,10,0,3873.031151366684,3873.031151366684,1.0,0.0012024540406591693,0.00223310225314093
12,105.0,30.3,,False,11,0,3838.972080443909,3838.972080443909,1.0,0.0011918797731535397,0.002213062424863061
13,105.0,31.2,7.0,True,12,0,3803.9655325612794,3803.9655325612794,1.0,0.0011810113439295344,0.0021924765565466218
14,105.0,32.1,,False,13,0,3768.0187655893556,3768.0187655893556,1.0,0.0011698510063270933,0.002171349727446585
15,105.0,33.0,8.0,True,14,0,3731.1392722469177,3731.1392722469177,1.0,0.001158401086599123,0.0021496871502919043
16,105.0,33.9,,False,15,0,3693.3347812827456,3693.3347812827456,1.0,0.0011466639842784016,0.002127494169999349
17,105.0,34.8,9.0,True,16,0,3654.613258590515,3654.613258590515,1.0,0.00113464217252372,0.0021047762623547244
18,105.0,35.7,,False,17,0,3614.9829082513124,3614.9829082513124,1.0,0.0011223381984435483,0.0020815390326618067
19,105.0,36.6,10.0,True,18,0,3574.452173494629,3574.452173494629,1.0,0.0011097546833943959,0.0020577882143593177
20,105.0,37.5,,False,19,0,3533.02973757428,3533.02973757428,1.0,0.001096894323252755,0.0020335296676062807
21,105.0,38.4,11.0,True,20,0,3490.724524550476,3490.724524550476,1.0,0.0010837598886579108,0.00200876937783612
22,105.0,39.3,,False,21,0,3447.54569997052,3447.54569997052,1.0,0.0010703542252232753,0.0019835134542798396
23,105.0,40.2,12.0,True,22,0,3403.5026714434507,3403.5026714434507,1.0,0.0010566802537147956,0.001957768128458664
