i,j,rook
144,145,True
144,169,False
144,121,False
145,169,True
145,146,True
145,170,False
145,122,False
146,170,True
146,147,True
146,171,False
146,123,False
147,171,True
147,148,True
147,172,False
147,124,False
148,172,True
148,149,True
148,173,False
148,125,False
149,173,True
149,150,True
149,174,False
149,126,False
150,174,True
150,151,True
150,175,False
150,127,False
151,175,True
151,152,True
151,176,False
151,128,False
152,176,True
152,153,True
152,177,False
152,129,False
153,177,True
153,154,True
153,178,False
153,130,False
154,178,True
154,155,True
154,179,False
154,131,False
155,179,True
155,156,True
155,180,False
155,132,False
156,180,True
156,157,True
156,181,False
156,133,False
157,181,True
157,158,True
157,182,False
157,134,False
158,182,True
158,159,True
158,183,False
158,135,False
159,183,True
159,160,True
159,184,False
159,136,False
160,184,True
160,161,True
160,185,False
160,137,False
161,185,True
161,162,True
161,186,False
161,138,False
162,186,True
162,163,True
162,187,False
162,139,False
163,187,True
163,164,True
163,188,False
163,140,False
164,188,True
164,165,True
164,189,False
164,141,False
165,189,True
165,166,True
165,190,False
165,142,False
166,190,True
166,167,True
166,191,False
166,143,False
167,191,True
168,169,True
168,192,False
168,145,False
169,192,True
169,170,True
169,193,False
169,146,False
170,193,True
170,171,True
170,194,False
170,147,False
171,194,True
171,172,True
171,195,False
171,148,False
172,195,True
172,173,True
172,196,False
172,149,False
173,196,True
173,174,True
173,197,False
173,150,False
174,197,True
174,175,True
174,198,False
174,151,False
175,198,True
175,176,True
175,199,False
175,152,False
176,199,True
176,177,True
176,200,False
176,153,False
177,200,True
177,178,True
177,201,False
177,154,False
178,201,True
178,179,True
178,202,False
178,155,False
179,202,True
179,180,True
179,203,False
179,156,False
180,203,True
180,181,True
180,204,False
180,157,False
181,204,True
181,182,True
181,205,False
181,158,False
182,205,True
182,183,True
182,206,False
182,159,False
183,206,True
183,184,True
183,207,False
183,160,False
184,207,True
184,185,True
184,208,False
184,161,False
185,208,True
185,186,True
185,209,False
185,162,False
186,209,True
186,187,True
186,210,False
186,163,False
187,210,True
187,188,True
187,211,False
187,164,False
188,211,True
188,189,True
188,212,False
188,165,False
189,212,True
189,190,True
189,213,False
189,166,False
190,213,True
190,191,True
190,214,False
190,167,False
191,214,True
192,215,True
192,193,True
192,216,False
192,170,False
193,216,True
193,194,True
193,217,False
193,171,False
194,217,True
194,195,True
194,218,False
194,172,False
195,218,True
195,196,True
195,219,False
195,173,False
196,219,True
196,197,True
196,220,False
196,174,False
197,220,True
197,198,True
197,221,False
197,175,False
198,221,True
198,199,True
198,222,False
198,176,False
199,222,True
199,200,True
199,223,False
199,177,False
200,223,True
200,201,True
200,224,False
200,178,False
201,224,True
201,202,True
201,225,False
201,179,False
202,225,True
202,203,True
202,226,False
202,180,False
203,226,True
203,204,True
203,227,False
203,181,False
204,227,True
204,205,True
204,228,False
204,182,False
205,228,True
205,206,True
205,229,False
205,183,False
206,229,True
206,207,True
206,230,False
206,184,False
207,230,True
207,208,True
207,231,False
207,185,False
208,231,True
208,209,True
208,232,False
208,186,False
209,232,True
209,210,True
209,233,False
209,187,False
210,233,True
210,211,True
210,234,False
210,188,False
211,234,True
211,212,True
211,235,False
211,189,False
212,235,True
212,213,True
212,236,False
212,190,False
213,236,True
213,214,True
213,237,False
213,191,False
214,237,True
215,238,True
215,216,True
215,239,False
215,193,False
216,239,True
216,217,True
216,240,False
216,194,False
217,240,True
217,218,True
217,241,False
217,195,False
218,241,True
218,219,True
218,242,False
218,196,False
219,242,True
219,220,True
219,243,False
219,197,False
220,243,True
220,221,True
220,244,False
220,198,False
221,244,True
221,222,True
221,245,False
221,199,False
222,245,True
222,223,True
222,246,False
222,200,False
223,246,True
223,224,True
223,247,False
223,201,False
224,247,True
224,225,True
224,248,False
224,202,False
225,248,True
225,226,True
225,249,False
225,203,False
226,249,True
226,227,True
226,250,False
226,204,False
227,250,True
227,228,True
227,251,False
227,205,False
228,251,True
228,229,True
228,252,False
228,206,False
229,252,True
229,230,True
229,253,False
229,207,False
230,253,True
230,231,True
230,254,False
230,208,False
231,254,True
231,232,True
231,255,False
231,209,False
232,255,True
232,233,True
232,256,False
232,210,False
233,256,True
233,234,True
233,257,False
233,211,False
234,257,True
234,235,True
234,258,False
234,212,False
235,258,True
235,236,True
235,259,False
235,213,False
236,259,True
236,237,True
236,260,False
236,214,False
237,260,True
238,239,True
238,261,False
238,216,False
239,261,True
239,240,True
239,262,False
239,217,False
240,262,True
240,241,True
240,263,False
240,218,False
241,263,True
241,242,True
241,264,False
241,219,False
242,264,True
242,243,True
242,265,False
242,220,False
243,265,True
243,244,True
243,266,False
243,221,False
244,266,True
244,245,True
244,267,False
244,222,False
245,267,True
245,246,True
245,268,False
245,223,False
246,268,True
246,247,True
246,269,False
246,224,False
247,269,True
247,248,True
247,270,False
247,225,False
248,270,True
248,249,True
248,271,False
248,226,False
249,271,True
249,250,True
249,272,False
249,227,False
250,272,True
250,251,True
250,273,False
250,228,False
251,273,True
251,252,True
251,274,False
251,229,False
252,274,True
252,253,True
252,275,False
252,230,False
253,275,True
253,254,True
253,276,False
253,231,False
254,276,True
254,255,True
254,277,False
254,232,False
255,277,True
255,256,True
255,278,False
255,233,False
256,278,True
256,257,True
256,279,False
256,234,False
257,279,True
257,258,True
257,280,False
257,235,False
258,280,True
258,259,True
258,281,False
258,236,False
259,281,True
259,260,True
259,282,False
259,237,False
260,282,True
261,283,True
261,262,True
261,284,False
261,240,False
262,284,True
262,263,True
262,285,False
262,241,False
263,285,True
263,264,True
263,286,False
263,242,False
264,286,True
264,265,True
264,287,False
264,243,False
265,287,True
265,266,True
265,288,False
265,244,False
266,288,True
266,267,True
266,289,False
266,245,False
267,289,True
267,268,True
267,290,False
267,246,False
268,290,True
268,269,True
