site_id,representative_weight
1,0.0036389556840603
2,0.011485025397728301
3,0.0075313628813012
4,0.0074224973139347
5,0.0036681450512891
6,0.0036070657794468
7,0.0011810113439295
8,0.0034749160772045004
9,0.0011346421725237
10,0.0099869564685819
11,0.0021541141138811002
12,0.0062982498209196
13,0.0015481794018641
14,0.0008867824218438
15,0.007654428081193
16,0.010041837184720601
17,0.0049483399323342996
18,0.0024454336118962
19,0.012065695772418599
20,0.014237384765687401
21,0.0208495253033943
22,0.0068078551856208
23,0.013315938526982802
24,0.0129246566740212
25,0.0041988285970104
26,0.0010321182203005
27,0.015265753734945299
28,0.005020918592360301
29,0.009896679864668599
30,0.014612721086386199
31,0.0095773656654174
32,0.004724056804121
33,0.0069498417677981
34,0.0022692850618736
35,0.0066579692634914
36,0.0043082188913404
37,0.0125964857910312
38,0.002064236440601
39,0.013996155306421301
40,0.015062755777080902
41,0.014845019797002899
42,0.0048908672237924
43,0.014428312499215801
44,0.004724056804121
45,0.0208495253033943
46,0.0068078551856208
47,0.019973907790474203
48,0.0129246566740212
49,0.0083976571940208
50,0.0030963546609014997
51,0.010152253308399799
52,0.010041837184720601
53,0.0049483399323342996
54,0.0048908672237924
55,0.014428312499215801
56,0.0023620284020605
57,0.013899683535596202
58,0.0045385701237472
59,0.013315938526982802
60,0.0086164377826808
61,0.00422670826658
62,0.006235185368041801
63,0.0069906925689216
64,0.010041837184720601
65,0.014845019797002899
66,0.0048908672237924
67,0.014428312499215801
68,0.0070860852061815
69,0.013899683535596202
70,0.0045385701237472
71,0.0089283670661078
72,0.013004009243555801
73,0.0083976571940208
74,0.002064236440601
75,0.0075317743020018
76,0.0049483399323342996
77,0.0024454336118962
78,0.0072141562496079
79,0.0023620284020605
80,0.0069498417677981
81,0.0022692850618736
82,0.0066579692634914
83,0.0021675156858504
84,0.00425405733878
85,0.0031175926840209
86,0.0189267720616885
87,0.014845019797002899
88,0.0073363008356885995
89,0.0216424687488237
90,0.0070860852061815
91,0.0208495253033943
92,0.0068078551856208
93,0.019973907790474203
94,0.0129246566740212
95,0.0125964857910312
96,0.0030963546609014997
97,0.0144961853708508
98,0.0097418140575908
99,0.0095773656654174
100,0.004724056804121
101,0.013899683535596202
102,0.0045385701237472
103,0.013126888498234603
104,0.011395753196250299
105,0.002064236440601
106,0.004325126577493
107,0.0096932604866085
108,0.0048098326257468
109,0.0094915898437916
110,0.013360524529067401
111,0.0091354471992544
112,0.0071115576508590005
113,0.002064236440601
114,0.0072239655868959005
115,0.006555435646142999
116,0.0059087361560284
117,0.0057917848360442
118,0.0056315435935232
119,0.002064236440601
120,0.010464459736697098
121,0.0015481794018641
