method,outcome,subset,mae,bias,mae_pp
graph,A,all,0.008203556171831829,-4.54661189426385e-05,0.820355617183183
graph,A,high,0.00742597605890655,-0.00025055096514682096,0.7425976058906549
graph,A_new344,all,0.010204277455062265,-5.0329315172065996e-05,1.0204277455062265
graph,A_new344,high,0.009250405367340007,-0.0002729050314869889,0.9250405367340007
graph,C,all,0.013793535147877189,3.486050035614349e-05,1.379353514787719
graph,C,high,0.01264538044460403,-0.00025010913187124877,1.264538044460403
interpolation,A,all,0.01398260014031514,0.005695645977345679,1.398260014031514
interpolation,A,high,0.014143222732706816,0.00551518094136802,1.4143222732706815
interpolation,A_new344,all,0.018609597074473187,0.007580398184429359,1.8609597074473188
interpolation,A_new344,high,0.018823371458026365,0.0073402152733918384,1.8823371458026366
interpolation,C,all,0.018226901160239818,0.013768803092070044,1.822690116023982
interpolation,C,high,0.018589640796237848,0.013977818522054071,1.8589640796237847
mean,A,all,0.027938215672943155,-9.173997361138678e-06,2.7938215672943154
mean,A,high,0.022907315588748485,-0.0003884113019453584,2.2907315588748487
mean,A_new344,all,0.028175309061579345,-1.0797309263187203e-05,2.8175309061579346
mean,A_new344,high,0.023138660350535533,-0.0004014207914924831,2.3138660350535534
mean,C,all,0.03070213542708309,5.2797277020909e-06,3.070213542708309
mean,C,high,0.025926634315932492,-0.0005571399606946087,2.592663431593249
simple,A,all,0.008272221686382003,-4.270667101957752e-05,0.8272221686382003
simple,A,high,0.007467426331361421,-0.00024813021175859216,0.7467426331361421
simple,A_new344,all,0.01028128525203943,-4.884242379444087e-05,1.028128525203943
simple,A_new344,high,0.009292956579301398,-0.00028177960729552427,0.9292956579301398
simple,C,all,0.013893291082437292,1.501786756545469e-05,1.3893291082437291
simple,C,high,0.012681287514141961,-0.0003520915266594245,1.2681287514141961
variogram,A,all,0.008150751389344924,-4.3071229795683785e-05,0.8150751389344923
variogram,A,high,0.007408705024781956,-0.000274616883560388,0.7408705024781956
variogram,A_new344,all,0.010134450943841794,-4.742084397334699e-05,1.0134450943841795
variogram,A_new344,high,0.00922161589682458,-0.0002924310567814256,0.9221615896824581
variogram,C,all,0.013656537080880073,3.361277198479574e-05,1.3656537080880073
variogram,C,high,0.012661854242516622,-0.00030029182302070877,1.2661854242516621
