year,threshold_c,outcome,high,middle,difference
1991,9.5,A,0.9982000022234635,0.998818156895211,-0.0006181546717474173
1991,9.5,A_coslat,0.9976783554752767,0.9984987010064982,-0.0008203455312216038
1991,9.5,A_new344,0.9979777575097405,0.9986887210057089,-0.0007109634959684419
1991,9.5,C,0.9891825455075143,0.9898867100309535,-0.0007041645234391695
1991,9.5,C8,0.9907012703557189,0.9913194250274664,-0.0006181546717474543
1991,9.5,C_coslat,0.9841453990900998,0.9851244808545133,-0.0009790817644134882
1991,9.5,S_km2,3215141.3469295218,3217132.385438343,-1991.0385088215892
1991,9.5,largest_km2,3186096.6686415873,3188364.7396386894,-2268.0709971018755
1991,9.75,A,0.9975449943266247,0.9985941567334531,-0.0010491624068283967
1991,9.75,A_coslat,0.9969530149184415,0.9982234367837725,-0.001270421865331069
1991,9.75,A_new344,0.9973976265224794,0.9984560089787379,-0.0010583824562584814
1991,9.75,C,0.9884406428413538,0.9896627098691956,-0.0012220670278418149
1991,9.75,C8,0.9899602526071883,0.9910954248657085,-0.001135172258520149
1991,9.75,C_coslat,0.9833395777102375,0.9848492166317876,-0.0015096389215499089
1991,9.75,S_km2,3213031.60642962,3216410.8945746063,-3379.288144985214
1991,9.75,largest_km2,3183707.0453876737,3187643.248774952,-3936.203387278598
1991,10.0,A,0.9968513292720425,0.9982503936003101,-0.0013990643282676036
1991,10.0,A_coslat,0.9960733092547388,0.9978598620505429,-0.001786552795803975
1991,10.0,A_new344,0.9967033629588956,0.9980311969573493,-0.001327833998453783
1991,10.0,C,0.9878768774819391,0.9893189467360526,-0.0014420692541134983
1991,10.0,C8,0.989309592478452,0.9907516617325655,-0.0014420692541134612
1991,10.0,C_coslat,0.982619720986158,0.984485641898558,-0.0018659209124000098
1991,10.0,S_km2,3210797.353581554,3215303.654481983,-4506.300900428556
1991,10.0,largest_km2,3181891.19153776,3186536.0086823287,-4644.817144568699
1991,10.25,A,0.9964616301865398,0.9977834410288687,-0.0013218108423289632
1991,10.25,A_coslat,0.9955937624358703,0.9973595586747477,-0.001765796238877515
1991,10.25,A_new344,0.9962419438698462,0.997442430750934,-0.001200486881087796
1991,10.25,C,0.9875301833222823,0.9888519941646111,-0.001321810842328926
1991,10.25,C8,0.9889628983187951,0.990284709161124,-0.0013218108423288892
1991,10.25,C_coslat,0.9822195422838852,0.9839853385227628,-0.001765796238877589
1991,10.25,S_km2,3209542.1565870955,3213799.6287194584,-4257.472132363357
1991,10.25,largest_km2,3180774.510787441,3185031.9829198043,-4257.472132363357
1991,10.5,A,0.9958491179614567,0.9973187524994356,-0.001469634537978881
1991,10.5,A_coslat,0.9947891337314827,0.9968628686765745,-0.0020737349450918505
1991,10.5,A_new344,0.9955984517728781,0.997053847084811,-0.001455395311933061
1991,10.5,C,0.9868316612455074,0.9883873056351781,-0.0015556443896705963
1991,10.5,C8,0.9883073811678663,0.9898200206316909,-0.0015126394638247016
1991,10.5,C_coslat,0.9812561773463058,0.9834886485245895,-0.0022324711782837348
1991,10.5,S_km2,3207569.292054959,3212302.895298204,-4733.603243244502
1991,10.5,largest_km2,3178524.6137670255,3183535.24949855,-5010.635731524478
1991,10.75,A,0.9951101467834548,0.9964790875333182,-0.0013689407498632307
1991,10.75,A_coslat,0.9938278943802829,0.9957321940745193,-0.0019042996942364814
1991,10.75,A_new344,0.9949038493233457,0.9961984451485044,-0.0012945958251587102
1991,10.75,C,0.9861356949933514,0.9873867385691545,-0.0012510435758030052
1991,10.75,C8,0.9875684099898644,0.9889803556655735,-0.0014119456757090882
1991,10.75,C_coslat,0.980374306111702,0.9820845943482492,-0.001710288236547323
1991,10.75,S_km2,3205189.110945672,3209598.3856366933,-4409.274691021846
