analysis,field,minimum_days_per_regime,bandwidth_km,records,high_days,middle_days,mean_stations,n_years,estimate,standard_error,ci_lower,ci_upper,negative_years
dynamic_support_frozen_era_labels_min1,era_wbt_c,1,125.799765031298,30,122,223,25.316393379439045,10,-0.11706000526473433,0.07009891111428783,-0.27563475915019336,0.0415147486207247,7
dynamic_support_frozen_era_labels_min1,era_wbt_c,1,251.599530062597,30,122,223,25.316393379439045,10,-0.1279806625264884,0.0438649785726292,-0.2272101380030031,-0.02875118704997369,8
dynamic_support_frozen_era_labels_min1,era_wbt_c,1,503.199060125194,30,122,223,25.316393379439045,10,-0.17173829533006654,0.03541538812250109,-0.25185346924664037,-0.09162312141349273,10
dynamic_support_frozen_era_labels_min1,era_wbt_c,1,1006.39812025039,30,122,223,25.316393379439045,10,-0.21632102520504065,0.03298534261493275,-0.29093905427060734,-0.14170299613947396,10
dynamic_support_frozen_era_labels_min1,era_wbt_c,1,2012.79624050077,30,122,223,25.316393379439045,10,-0.24237980503581197,0.03310691201518034,-0.31727284319093263,-0.16748676688069133,10
dynamic_support_frozen_era_labels_min1,observed_wbt_c,1,125.799765031298,30,122,223,25.316393379439045,10,-0.06339772060394941,0.0866161518234232,-0.2593370688701643,0.1325416276622655,6
dynamic_support_frozen_era_labels_min1,observed_wbt_c,1,251.599530062597,30,122,223,25.316393379439045,10,-0.07298543961959889,0.0607498278109063,-0.2104110977441937,0.06444021850499593,7
dynamic_support_frozen_era_labels_min1,observed_wbt_c,1,503.199060125194,30,122,223,25.316393379439045,10,-0.1255516187245192,0.05096544661810382,-0.24084346884972097,-0.010259768599317431,8
dynamic_support_frozen_era_labels_min1,observed_wbt_c,1,1006.39812025039,30,122,223,25.316393379439045,10,-0.1806627562465041,0.04919330012782683,-0.29194573249509903,-0.06937977999790919,9
dynamic_support_frozen_era_labels_min1,observed_wbt_c,1,2012.79624050077,30,122,223,25.316393379439045,10,-0.2148308741789029,0.04878510734262164,-0.32519045419462056,-0.10447129416318526,9
dynamic_support_frozen_era_labels_min1,observed_wbt_slp_as_surface_c,1,125.799765031298,30,122,223,25.316393379439045,10,-0.05921240820535103,0.08718749480235762,-0.2564442240838088,0.13801940767310675,6
dynamic_support_frozen_era_labels_min1,observed_wbt_slp_as_surface_c,1,251.599530062597,30,122,223,25.316393379439045,10,-0.07080950761522689,0.06279236694599241,-0.21285571027466657,0.07123669504421279,7
dynamic_support_frozen_era_labels_min1,observed_wbt_slp_as_surface_c,1,503.199060125194,30,122,223,25.316393379439045,10,-0.12382477200212032,0.05314792407788254,-0.24405372914572815,-0.0035958148585125,8
dynamic_support_frozen_era_labels_min1,observed_wbt_slp_as_surface_c,1,1006.39812025039,30,122,223,25.316393379439045,10,-0.1798535067460623,0.05162818742168395,-0.2966445807271985,-0.06306243276492605,9
dynamic_support_frozen_era_labels_min1,observed_wbt_slp_as_surface_c,1,2012.79624050077,30,122,223,25.316393379439045,10,-0.21497011162625418,0.051183098696923016,-0.3307543249605669,-0.09918589829194148,9
dynamic_support_frozen_era_labels_min2,era_wbt_c,2,125.799765031298,24,116,192,25.349964808010476,10,-0.0850635139086917,0.11768705727812502,-0.3512901335056228,0.1811631056882394,8
dynamic_support_frozen_era_labels_min2,era_wbt_c,2,251.599530062597,24,116,192,25.349964808010476,10,-0.08374529891454344,0.07031085798862266,-0.24279950993992352,0.07530891211083665,7
dynamic_support_frozen_era_labels_min2,era_wbt_c,2,503.199060125194,24,116,192,25.349964808010476,10,-0.12183447603377628,0.05566090529374198,-0.24774819163495834,0.0040792395674057735,8
dynamic_support_frozen_era_labels_min2,era_wbt_c,2,1006.39812025039,24,116,192,25.349964808010476,10,-0.16286457029015672,0.051283927173276754,-0.27887687348447265,-0.046852267095840755,8
dynamic_support_frozen_era_labels_min2,era_wbt_c,2,2012.79624050077,24,116,192,25.349964808010476,10,-0.18807962038449216,0.04883013869720799,-0.2985410684015403,-0.077618172367444,9
dynamic_support_frozen_era_labels_min2,observed_wbt_c,2,125.799765031298,24,116,192,25.349964808010476,10,-0.018443667956454295,0.14927791839411356,-0.3561337803076479,0.3192464443947393,6
dynamic_support_frozen_era_labels_min2,observed_wbt_c,2,251.599530062597,24,116,192,25.349964808010476,10,-0.04742765608681163,0.07547350004177697,-0.21816057481198653,0.12330526263836328,6
dynamic_support_frozen_era_labels_min2,observed_wbt_c,2,503.199060125194,24,116,192,25.349964808010476,10,-0.09317251222430202,0.05437464471859139,-0.21617650425211032,0.029831479803506283,7
dynamic_support_frozen_era_labels_min2,observed_wbt_c,2,1006.39812025039,24,116,192,25.349964808010476,10,-0.13982964464892192,0.0522036114793042,-0.25792241828368234,-0.02173687101416147,8
dynamic_support_frozen_era_labels_min2,observed_wbt_c,2,2012.79624050077,24,116,192,25.349964808010476,10,-0.16966754116958144,0.050624015472266616,-0.28418702038260607,-0.05514806195655679,9
dynamic_support_frozen_era_labels_min2,observed_wbt_slp_as_surface_c,2,125.799765031298,24,116,192,25.349964808010476,10,-0.020181225550372998,0.1415831597760506,-0.3404645845772822,0.3001021334765362,6
dynamic_support_frozen_era_labels_min2,observed_wbt_slp_as_surface_c,2,251.599530062597,24,116,192,25.349964808010476,10,-0.05127815227416952,0.07102727736710072,-0.21195301652818124,0.10939671197984221,6
dynamic_support_frozen_era_labels_min2,observed_wbt_slp_as_surface_c,2,503.199060125194,24,116,192,25.349964808010476,10,-0.09708033566820504,0.05025034154548542,-0.21075450573118978,0.01659383439477971,7
dynamic_support_frozen_era_labels_min2,observed_wbt_slp_as_surface_c,2,1006.39812025039,24,116,192,25.349964808010476,10,-0.14449871298219436,0.04815577159491872,-0.2534346366284057,-0.03556278933598303,9
dynamic_support_frozen_era_labels_min2,observed_wbt_slp_as_surface_c,2,2012.79624050077,24,116,192,25.349964808010476,10,-0.1748212186488408,0.04685559862493622,-0.28081594669805693,-0.06882649059962466,9
dynamic_support_frozen_era_labels_min3,era_wbt_c,3,125.799765031298,22,112,178,25.415948033384396,9,-0.09208712357236662,0.13057006653305592,-0.3931822369314766,0.20900798978674337,7
dynamic_support_frozen_era_labels_min3,era_wbt_c,3,251.599530062597,22,112,178,25.415948033384396,9,-0.12383254299055915,0.06640061467796714,-0.2769526350180498,0.02928754903693148,7
dynamic_support_frozen_era_labels_min3,era_wbt_c,3,503.199060125194,22,112,178,25.415948033384396,9,-0.15932850008951427,0.047172087086527426,-0.26810752797725756,-0.050549472201771,8
dynamic_support_frozen_era_labels_min3,era_wbt_c,3,1006.39812025039,22,112,178,25.415948033384396,9,-0.1959514221463838,0.04292520697816016,-0.29493712694251584,-0.09696571735025176,8
dynamic_support_frozen_era_labels_min3,era_wbt_c,3,2012.79624050077,22,112,178,25.415948033384396,9,-0.21755105221493423,0.04158550378412608,-0.31344739590567744,-0.12165470852419101,9
dynamic_support_frozen_era_labels_min3,observed_wbt_c,3,125.799765031298,22,112,178,25.415948033384396,9,-0.051603701382814955,0.16371068287668752,-0.4291212130735542,0.3259138103079243,6
dynamic_support_frozen_era_labels_min3,observed_wbt_c,3,251.599530062597,22,112,178,25.415948033384396,9,-0.07609433007265254,0.07819492790332641,-0.2564121571697149,0.10422349702440978,6
dynamic_support_frozen_era_labels_min3,observed_wbt_c,3,503.199060125194,22,112,178,25.415948033384396,9,-0.1115722636562557,0.05718013175352329,-0.24342988393139942,0.02028535661888803,7
dynamic_support_frozen_era_labels_min3,observed_wbt_c,3,1006.39812025039,22,112,178,25.415948033384396,9,-0.15877887528643508,0.05460201447540606,-0.2846913464571992,-0.03286640411567099,8
dynamic_support_frozen_era_labels_min3,observed_wbt_c,3,2012.79624050077,22,112,178,25.415948033384396,9,-0.18697339596076754,0.05338808796976541,-0.31008654758969034,-0.06386024433184473,8
dynamic_support_frozen_era_labels_min3,observed_wbt_slp_as_surface_c,3,125.799765031298,22,112,178,25.415948033384396,9,-0.05384600134956224,0.15468433713082322,-0.41054872242455587,0.3028567197254314,6
dynamic_support_frozen_era_labels_min3,observed_wbt_slp_as_surface_c,3,251.599530062597,22,112,178,25.415948033384396,9,-0.07801264594040289,0.07348277243184935,-0.24746422303451415,0.09143893115370838,6
dynamic_support_frozen_era_labels_min3,observed_wbt_slp_as_surface_c,3,503.199060125194,22,112,178,25.415948033384396,9,-0.1139367583780405,0.052776395812329374,-0.23563934536244385,0.007765828606362851,7
dynamic_support_frozen_era_labels_min3,observed_wbt_slp_as_surface_c,3,1006.39812025039,22,112,178,25.415948033384396,9,-0.16203430630468799,0.050422032758067,-0.2783077223501904,-0.04576089025918559,8
