aggregation,year,regime,scheduled_days,days_with_any_station,days_eligible_ge10,eligibility_fraction_ge10,station_count_mean,station_count_sd,station_count_min,station_count_q25,station_count_median,station_count_q75,station_count_max
all_years,,high,240,156,122,0.5083333333333333,13.279166666666667,12.698679770822508,0,0.0,21.5,25.0,28
all_years,,middle,440,274,223,0.5068181818181818,13.122727272727273,12.59491280382396,0,0.0,22.5,25.0,28
year,1992.0,high,24,22,5,0.20833333333333334,5.833333333333333,9.738612822683983,0,1.0,1.0,1.25,25
year,1992.0,middle,44,43,19,0.4318181818181818,11.136363636363637,11.688974946784423,0,1.0,1.0,24.0,25
year,1996.0,high,24,22,7,0.2916666666666667,8.708333333333334,10.61778314153099,0,2.0,3.0,24.25,25
year,1996.0,middle,44,33,10,0.22727272727272727,7.0,9.731273011204888,0,1.5,3.0,3.0,25
year,2000.0,high,24,9,9,0.375,8.916666666666666,11.791362596581362,0,0.0,0.0,23.25,25
year,2000.0,middle,44,14,14,0.3181818181818182,7.613636363636363,11.324424948880758,0,0.0,0.0,23.25,25
year,2004.0,high,24,4,4,0.16666666666666666,4.083333333333333,9.333980308839156,0,0.0,0.0,0.0,25
year,2004.0,middle,44,19,17,0.38636363636363635,9.681818181818182,12.250814357882078,0,0.0,0.0,25.0,25
year,2008.0,high,24,16,16,0.6666666666666666,16.625,12.010185894372798,0,0.0,25.0,25.0,25
year,2008.0,middle,44,29,29,0.6590909090909091,16.386363636363637,11.926550231430419,0,0.0,25.0,25.0,25
year,2012.0,high,24,18,18,0.75,18.583333333333332,10.989784452792538,0,15.75,25.0,25.0,25
year,2012.0,middle,44,27,27,0.6136363636363636,15.295454545454545,12.27889008213074,0,0.0,25.0,25.0,25
year,2016.0,high,24,14,14,0.5833333333333334,14.0,12.086643724448038,0,0.0,24.0,24.0,24
year,2016.0,middle,44,29,29,0.6590909090909091,15.727272727272727,11.445246065737749,0,0.0,24.0,24.0,24
year,2020.0,high,24,17,17,0.7083333333333334,19.75,12.948896209464275,0,0.0,28.0,28.0,28
year,2020.0,middle,44,31,31,0.7045454545454546,19.65909090909091,12.882191027382026,0,0.0,28.0,28.0,28
year,2023.0,high,24,18,16,0.6666666666666666,17.708333333333332,12.650757553074309,0,0.75,26.5,27.0,27
year,2023.0,middle,44,26,24,0.5454545454545454,14.431818181818182,13.159836231526285,0,0.0,25.5,26.0,27
year,2025.0,high,24,16,16,0.6666666666666666,18.583333333333332,13.425856516006931,0,0.0,28.0,28.0,28
year,2025.0,middle,44,23,23,0.5227272727272727,14.295454545454545,13.842266828499376,0,0.0,24.5,28.0,28
