analysis,domain,distance_method,target_weighting,label_rule,n_sites,bandwidth_km,weighted_mean_pair_distance_km,effective_edges,n_years,estimate,standard_error,ci_lower,ci_upper,negative_years
east_edge_inward_0.8deg_wgs84_equal_domain_mean_relabelled,east_edge_inward_0.8deg,WGS84_geodesic,equal_site,domain_mean_relabelled,461,1006.39812025039,803.3499231520108,89395.24471301763,33,-0.10277611008190927,0.014497979708115708,-0.1323075283621781,-0.07324469180164045,30
east_edge_inward_0.8deg_wgs84_equal_domain_mean_relabelled,east_edge_inward_0.8deg,WGS84_geodesic,equal_site,domain_mean_relabelled,461,2012.79624050077,955.8935667251628,104121.45110968691,33,-0.1302429416704134,0.014259947871511284,-0.1592895049658976,-0.10119637837492916,30
east_edge_inward_1.6deg_wgs84_equal_frozen_primary,east_edge_inward_1.6deg,WGS84_geodesic,equal_site,frozen_primary,458,125.799765031298,164.00484558515885,5113.2895093277875,33,-0.03106574975547439,0.01021024841102103,-0.05186334518889364,-0.010268154322055141,22
east_edge_inward_1.6deg_wgs84_equal_frozen_primary,east_edge_inward_1.6deg,WGS84_geodesic,equal_site,frozen_primary,458,251.599530062597,300.19215726023066,17406.572614364934,33,-0.041625728534376696,0.012255110674836625,-0.06658857209574524,-0.016662884973008153,23
east_edge_inward_1.6deg_wgs84_equal_frozen_primary,east_edge_inward_1.6deg,WGS84_geodesic,equal_site,frozen_primary,458,503.199060125194,534.5104542814415,48962.13611632013,33,-0.06572265821622081,0.01435982022564735,-0.09497265483993465,-0.036472661592506964,26
east_edge_inward_1.6deg_wgs84_equal_frozen_primary,east_edge_inward_1.6deg,WGS84_geodesic,equal_site,frozen_primary,458,1006.39812025039,800.7638210124481,88513.10396417428,33,-0.11228995694525408,0.01452396834334585,-0.1418743123431742,-0.08270560154733395,29
east_edge_inward_1.6deg_wgs84_equal_frozen_primary,east_edge_inward_1.6deg,WGS84_geodesic,equal_site,frozen_primary,458,2012.79624050077,950.8879310818471,102820.41941416705,33,-0.1393991164447713,0.014300757858669598,-0.16852880696384448,-0.1102694259256981,31
east_edge_inward_1.6deg_wgs84_equal_domain_mean_relabelled,east_edge_inward_1.6deg,WGS84_geodesic,equal_site,domain_mean_relabelled,458,125.799765031298,164.00484558515885,5113.2895093277875,33,-0.024384824796833595,0.009520766357761806,-0.0437779912462518,-0.004991658347415391,22
east_edge_inward_1.6deg_wgs84_equal_domain_mean_relabelled,east_edge_inward_1.6deg,WGS84_geodesic,equal_site,domain_mean_relabelled,458,251.599530062597,300.19215726023066,17406.572614364934,33,-0.03223600524695389,0.011786156728199083,-0.056243620877869216,-0.008228389616038567,23
east_edge_inward_1.6deg_wgs84_equal_domain_mean_relabelled,east_edge_inward_1.6deg,WGS84_geodesic,equal_site,domain_mean_relabelled,458,503.199060125194,534.5104542814415,48962.13611632013,33,-0.05418644527290001,0.014114230085487846,-0.08293619115129791,-0.0254366993945021,27
east_edge_inward_1.6deg_wgs84_equal_domain_mean_relabelled,east_edge_inward_1.6deg,WGS84_geodesic,equal_site,domain_mean_relabelled,458,1006.39812025039,800.7638210124481,88513.10396417428,33,-0.10070671998201819,0.01437230445861966,-0.12998214615614084,-0.07143129380789552,30
east_edge_inward_1.6deg_wgs84_equal_domain_mean_relabelled,east_edge_inward_1.6deg,WGS84_geodesic,equal_site,domain_mean_relabelled,458,2012.79624050077,950.8879310818471,102820.41941416705,33,-0.12800849028494427,0.01416837137063625,-0.15686851835231874,-0.09914846221756979,31
natural_earth_china_mainland_intersection_wgs84_equal_frozen_primary,natural_earth_china_mainland_intersection,WGS84_geodesic,equal_site,frozen_primary,445,125.799765031298,163.86236352791073,5010.639417055971,33,-0.03010849516005361,0.010372533031372916,-0.05123665354779838,-0.00898033677230884,21
natural_earth_china_mainland_intersection_wgs84_equal_frozen_primary,natural_earth_china_mainland_intersection,WGS84_geodesic,equal_site,frozen_primary,445,251.599530062597,299.39245316960336,16941.1508300613,33,-0.04034422419230373,0.01241966341716645,-0.06564225072128169,-0.015046197663325774,23
natural_earth_china_mainland_intersection_wgs84_equal_frozen_primary,natural_earth_china_mainland_intersection,WGS84_geodesic,equal_site,frozen_primary,445,503.199060125194,532.3912929646993,47332.84972758218,33,-0.064638843259407,0.014557125181372156,-0.0942907369262666,-0.03498694959254738,26
natural_earth_china_mainland_intersection_wgs84_equal_frozen_primary,natural_earth_china_mainland_intersection,WGS84_geodesic,equal_site,frozen_primary,445,1006.39812025039,792.2086651948085,84444.85754405503,33,-0.10972927900837644,0.014759255935415844,-0.13979289954788637,-0.0796656584688665,29
natural_earth_china_mainland_intersection_wgs84_equal_frozen_primary,natural_earth_china_mainland_intersection,WGS84_geodesic,equal_site,frozen_primary,445,2012.79624050077,934.157117027977,97211.1677741197,33,-0.13460082121378542,0.014557911300471592,-0.1642543161528506,-0.10494732627472023,31
natural_earth_china_mainland_intersection_wgs84_equal_domain_mean_relabelled,natural_earth_china_mainland_intersection,WGS84_geodesic,equal_site,domain_mean_relabelled,445,125.799765031298,163.86236352791073,5010.639417055971,33,-0.020882006407157688,0.010012690779568846,-0.04127719011381699,-0.0004868227004983898,21
natural_earth_china_mainland_intersection_wgs84_equal_domain_mean_relabelled,natural_earth_china_mainland_intersection,WGS84_geodesic,equal_site,domain_mean_relabelled,445,251.599530062597,299.39245316960336,16941.1508300613,33,-0.027955135037121583,0.012426652984403094,-0.05326739884866022,-0.002642871225582946,23
natural_earth_china_mainland_intersection_wgs84_equal_domain_mean_relabelled,natural_earth_china_mainland_intersection,WGS84_geodesic,equal_site,domain_mean_relabelled,445,503.199060125194,532.3912929646993,47332.84972758218,33,-0.050612287608177674,0.014904834769476552,-0.08097244252888791,-0.020252132687467433,25
natural_earth_china_mainland_intersection_wgs84_equal_domain_mean_relabelled,natural_earth_china_mainland_intersection,WGS84_geodesic,equal_site,domain_mean_relabelled,445,1006.39812025039,792.2086651948085,84444.85754405503,33,-0.09640066516350036,0.015241521279180924,-0.12744662806212065,-0.06535470226488008,30
natural_earth_china_mainland_intersection_wgs84_equal_domain_mean_relabelled,natural_earth_china_mainland_intersection,WGS84_geodesic,equal_site,domain_mean_relabelled,445,2012.79624050077,934.157117027977,97211.1677741197,33,-0.12179508584891416,0.01507413644271731,-0.15250009699295208,-0.09109007470487623,30
natural_earth_china_mainland_intersection_wgs84_area_relabelled,natural_earth_china_mainland_intersection,WGS84_geodesic,cosine_latitude_area,area_mean_relabelled,445,125.799765031298,164.13331239086514,4952.358979939021,33,-0.024124816624071226,0.009227312958113455,-0.042920238058993976,-0.005329395189148472,22
natural_earth_china_mainland_intersection_wgs84_area_relabelled,natural_earth_china_mainland_intersection,WGS84_geodesic,cosine_latitude_area,area_mean_relabelled,445,251.599530062597,299.74418409809886,16736.686097176895,33,-0.03124127146261154,0.011560321355900247,-0.05478887549355864,-0.0076936674316644416,23
natural_earth_china_mainland_intersection_wgs84_area_relabelled,natural_earth_china_mainland_intersection,WGS84_geodesic,cosine_latitude_area,area_mean_relabelled,445,503.199060125194,532.4214197460922,46727.64509152795,33,-0.05230169016442093,0.014177251523450082,-0.08117980651115692,-0.023423573817684944,28
natural_earth_china_mainland_intersection_wgs84_area_relabelled,natural_earth_china_mainland_intersection,WGS84_geodesic,cosine_latitude_area,area_mean_relabelled,445,1006.39812025039,790.76305286555,83340.95352717587,33,-0.09566007104359897,0.014776165831132972,-0.12575813591352955,-0.06556200617366838,29
natural_earth_china_mainland_intersection_wgs84_area_relabelled,natural_earth_china_mainland_intersection,WGS84_geodesic,cosine_latitude_area,area_mean_relabelled,445,2012.79624050077,931.4908935736423,96163.36243202243,33,-0.11949228989117597,0.014728235176709407,-0.14949272321293733,-0.08949185656941461,30
