day_definition,years,estimate,standard_error,ci_lower,ci_upper
utc,33,-0.687509021765305,0.0768603339057641,-0.844068398687433,-0.530949644843177
utc_plus_8,33,-0.694045269074499,0.0777284551795973,-0.852372951165465,-0.535717586983533
