year,high_mean_day_of_month,middle_mean_day_of_month,high_minus_middle_day,analysis_role
1991,16.666666666666668,16.31904761904762,0.34761904761904755,held_out
1992,14.791666666666666,18.28095238095238,-3.489285714285714,held_out
1993,14.166666666666666,18.07777777777778,-3.9111111111111114,held_out
1994,17.666666666666668,14.888888888888891,2.7777777777777772,held_out
1995,16.833333333333332,17.815873015873017,-0.9825396825396832,held_out
1996,18.333333333333332,15.35873015873016,2.9746031746031747,held_out
1997,19.666666666666668,16.295238095238094,3.371428571428572,held_out
1998,15.958333333333334,17.530158730158732,-1.5718253968253972,held_out
1999,18.416666666666668,15.026984126984127,3.3896825396825396,held_out
2000,18.875,13.926984126984125,4.948015873015874,held_out
2001,16.791666666666668,16.044444444444444,0.7472222222222223,held_out
2002,17.791666666666668,16.409523809523808,1.382142857142857,held_out
2003,20.0,15.563492063492063,4.436507936507937,held_out
2004,18.791666666666668,15.992063492063492,2.7996031746031753,held_out
2005,19.541666666666668,16.2015873015873,3.3400793650793648,held_out
2006,17.333333333333332,13.992063492063492,3.341269841269842,held_out
2007,19.291666666666668,14.061904761904762,5.229761904761905,held_out
2008,19.25,15.303174603174604,3.9468253968253966,held_out
2009,18.75,15.455555555555556,3.2944444444444447,held_out
2010,19.458333333333332,14.59047619047619,4.867857142857143,held_out
2011,19.083333333333332,15.046031746031746,4.037301587301587,held_out
2012,19.25,14.78888888888889,4.461111111111111,held_out
2013,16.041666666666668,16.27777777777778,-0.2361111111111119,held_out
2014,17.166666666666668,15.703174603174602,1.4634920634920643,held_out
2015,19.75,15.312698412698412,4.4373015873015875,development
2016,18.25,15.261904761904761,2.9880952380952372,held_out
2017,17.541666666666668,15.744444444444445,1.7972222222222218,held_out
2018,18.916666666666668,16.223809523809525,2.6928571428571426,held_out
2019,17.083333333333332,16.152380952380952,0.9309523809523815,held_out
2020,19.125,14.976190476190476,4.148809523809524,held_out
2021,15.166666666666666,17.607936507936508,-2.4412698412698415,held_out
2022,16.458333333333332,13.950793650793651,2.5075396825396825,development
2023,17.708333333333332,15.35873015873016,2.3496031746031747,held_out
2024,17.416666666666668,18.25238095238095,-0.8357142857142854,held_out
2025,16.958333333333332,14.85873015873016,2.099603174603175,held_out
