day_definition,analysis_role,year,yearly_profile_effect,scales
utc,confirmatory,1991,0.0561400831201969,5
utc,confirmatory,1992,0.00666502629370813,5
utc,confirmatory,1993,-0.0267812602057767,5
utc,confirmatory,1994,0.00954083314612564,5
utc,confirmatory,1995,-0.053687164905572,5
utc,confirmatory,1996,-0.0974236315643846,5
utc,confirmatory,1997,-0.136547100071319,5
utc,confirmatory,1998,-0.0186425145701842,5
utc,confirmatory,1999,-0.169247423884233,5
utc,confirmatory,2000,-0.175347911615885,5
utc,confirmatory,2001,-0.0983967886492667,5
utc,confirmatory,2002,0.0210149855672617,5
utc,confirmatory,2003,-0.0330657671535986,5
utc,confirmatory,2004,-0.0559695351444428,5
utc,confirmatory,2005,-0.105975349005018,5
utc,confirmatory,2006,-0.0958782716790327,5
utc,confirmatory,2007,-0.0211516444496908,5
utc,confirmatory,2008,-0.0247771073337344,5
utc,confirmatory,2009,-0.117107824889222,5
utc,confirmatory,2010,-0.0604727282935537,5
utc,confirmatory,2011,-0.0687240240073746,5
utc,confirmatory,2012,-0.279647793738847,5
utc,confirmatory,2013,-0.0435249270602251,5
utc,confirmatory,2014,-0.000310473947731767,5
utc,discovery,2015,-0.215622169316996,5
utc,confirmatory,2016,0.0553326001254082,5
utc,confirmatory,2017,-0.0651767415355849,5
utc,confirmatory,2018,-0.154634947783425,5
utc,confirmatory,2019,-0.0952561359009287,5
utc,confirmatory,2020,-0.0631218411308778,5
utc,confirmatory,2021,-0.0870828794681223,5
utc,discovery,2022,-0.087114999394863,5
utc,confirmatory,2023,-0.208516919653307,5
utc,confirmatory,2024,-0.0104516555748937,5
utc,confirmatory,2025,-0.185311110022944,5
utc_plus_8,confirmatory,1991,0.0561400831201969,5
utc_plus_8,confirmatory,1992,0.00666502629370813,5
utc_plus_8,confirmatory,1993,-0.0267812602057767,5
utc_plus_8,confirmatory,1994,0.00954083314612564,5
utc_plus_8,confirmatory,1995,-0.053687164905572,5
utc_plus_8,confirmatory,1996,-0.0974236315643846,5
utc_plus_8,confirmatory,1997,-0.136547100071319,5
utc_plus_8,confirmatory,1998,-0.0186425145701842,5
utc_plus_8,confirmatory,1999,-0.169247423884233,5
utc_plus_8,confirmatory,2000,-0.175347911615885,5
utc_plus_8,confirmatory,2001,-0.0983967886492667,5
utc_plus_8,confirmatory,2002,0.0210149855672617,5
utc_plus_8,confirmatory,2003,-0.0330657671535986,5
utc_plus_8,confirmatory,2004,-0.0559695351444428,5
utc_plus_8,confirmatory,2005,-0.105975349005018,5
utc_plus_8,confirmatory,2006,-0.0958782716790327,5
utc_plus_8,confirmatory,2007,-0.0211516444496908,5
utc_plus_8,confirmatory,2008,-0.0247771073337344,5
utc_plus_8,confirmatory,2009,-0.129411196265916,5
utc_plus_8,confirmatory,2010,-0.0604727282935537,5
utc_plus_8,confirmatory,2011,-0.0687240240073746,5
utc_plus_8,confirmatory,2012,-0.279647793738847,5
utc_plus_8,confirmatory,2013,-0.0435249270602251,5
utc_plus_8,confirmatory,2014,-0.000310473947731767,5
utc_plus_8,discovery,2015,-0.215622169316996,5
utc_plus_8,confirmatory,2016,0.0553326001254082,5
utc_plus_8,confirmatory,2017,-0.0651767415355849,5
utc_plus_8,confirmatory,2018,-0.154634947783425,5
utc_plus_8,confirmatory,2019,-0.0952561359009287,5
utc_plus_8,confirmatory,2020,-0.0631218411308778,5
utc_plus_8,confirmatory,2021,-0.0870828794681223,5
utc_plus_8,discovery,2022,-0.087114999394863,5
utc_plus_8,confirmatory,2023,-0.208516919653307,5
utc_plus_8,confirmatory,2024,-0.0104516555748937,5
utc_plus_8,confirmatory,2025,-0.185311110022944,5
