day_definition,years,estimate,standard_error,t_statistic,degrees_freedom,t_p_value,ci_lower,ci_upper,hac_lag,hac_standard_error,hac_statistic,hac_p_value,hac_ci_lower,hac_ci_upper,negative_years,negative_fraction,sign_p_value,consistency_threshold,confirmatory_consistency,loo_min,loo_max
utc,33,-0.0728344831814084,0.0133257413610005,-5.46569839593073,32,2.56177862540536e-06,-0.0999781300859558,-0.045690836276861,2,0.0136021134273265,-5.3546445977347,3.53975594507526e-06,-0.100541081563056,-0.0451278847997607,28,0.848484848484848,3.30938491970301e-05,0.025,TRUE,-0.0768649383783336,-0.0663715672264884
utc_plus_8,33,-0.0732073126170658,0.0133695936707552,-5.47565725779687,32,2.48857302411863e-06,-0.10044028375354,-0.0459743414805914,2,0.0135930074124473,-5.38565972898896,3.23407814288344e-06,-0.10089536265338,-0.0455192625807516,28,0.848484848484848,3.30938491970301e-05,0.025,TRUE,-0.0772494187338553,-0.0667560475820101
