year,bandwidth_km,total_effect,anomaly_energy_component,climatology_anomaly_cross_component,climatology_energy_component,analysis_role
1991,125.7997650312984,0.07281041033487624,0.019070694435577087,0.05373971589929985,0.0,held_out
1991,251.5995300625968,0.07721930439696767,0.03168888832172793,0.04553041607524002,0.0,held_out
1991,503.1990601251936,0.08419294833409774,0.039922895337946,0.04427005299615222,0.0,held_out
1991,1006.3981202503873,0.0417117272560617,0.030413131844410444,0.011298595411651296,0.0,held_out
1991,2012.7962405007745,0.004766025278982446,0.024566956726195657,-0.019800931447213455,0.0,held_out
1992,125.7997650312984,0.046962210265220135,0.00815819006783553,0.038804020197384374,0.0,held_out
1992,251.5995300625968,0.03576211147413285,-0.0003439818820371171,0.036106093356169655,0.0,held_out
1992,503.1990601251936,0.029034860969233103,0.0012804109691172127,0.027754450000115626,0.0,held_out
1992,1006.3981202503873,-0.020332868128932226,0.010439995579557047,-0.03077286370848901,0.0,held_out
1992,2012.7962405007745,-0.05810118311111042,0.014963647095269544,-0.07306483020637976,0.0,held_out
1993,125.7997650312984,-0.016880659568624858,-0.038510263792921134,0.02162960422429706,0.0,held_out
1993,251.5995300625968,-0.007764407688317205,-0.04596047767294228,0.03819606998462526,0.0,held_out
1993,503.1990601251936,-0.004533389415210395,-0.049517991991231296,0.04498460257602089,0.0,held_out
1993,1006.3981202503873,-0.03870833447015266,-0.041393685333251835,0.002685350863098885,0.0,held_out
1993,2012.7962405007745,-0.06601950988657586,-0.035939388496856774,-0.03008012138971906,0.0,held_out
1994,125.7997650312984,0.038272464224816914,0.010681231772435074,0.027591232452382385,0.0,held_out
1994,251.5995300625968,0.04487437642391661,0.01306196546296279,0.031812410960954156,0.0,held_out
1994,503.1990601251936,0.03785570979443411,0.02259846035890174,0.015257249435532775,0.0,held_out
1994,1006.3981202503873,-0.01698280777912688,0.03351543833684088,-0.05049824611596749,0.0,held_out
1994,2012.7962405007745,-0.05631557693340917,0.03968525419504242,-0.09600083112845191,0.0,held_out
1995,125.7997650312984,0.007188224917916329,0.0075276573880991545,-0.0003394324701829719,0.0,held_out
1995,251.5995300625968,-0.012526020593260294,0.0006416008589826434,-0.013167621452242817,0.0,held_out
1995,503.1990601251936,-0.0544034124062951,-0.0029138590294325185,-0.051489553376862694,0.0,held_out
1995,1006.3981202503873,-0.09620459253762814,0.003422264921523652,-0.09962685745915167,0.0,held_out
1995,2012.7962405007745,-0.1124900239085906,0.00834590367381898,-0.12083592758240984,0.0,held_out
1996,125.7997650312984,-0.0692398000783243,-0.034791451745328744,-0.03444834833299467,0.0,held_out
1996,251.5995300625968,-0.061879549072442246,-0.028462344713110873,-0.03341720435933118,0.0,held_out
1996,503.1990601251936,-0.06310095366619518,-0.013409160374474557,-0.049691793291720056,0.0,held_out
1996,1006.3981202503873,-0.12582043820542843,-0.0035627413047864555,-0.12225769690064159,0.0,held_out
1996,2012.7962405007745,-0.16707741679952962,-0.0010746831437790979,-0.16600273365575016,0.0,held_out
1997,125.7997650312984,-0.07432589002648483,-0.01643486412596429,-0.05789102590052079,0.0,held_out
1997,251.5995300625968,-0.10154294145229938,-0.01651333195044442,-0.08502960950185579,0.0,held_out
1997,503.1990601251936,-0.137180895383379,-0.01412684503176722,-0.12305405035161243,0.0,held_out
1997,1006.3981202503873,-0.17534008727902228,-0.012118943827415232,-0.16322114345160701,0.0,held_out
1997,2012.7962405007745,-0.1943456862154047,-0.009732768654976931,-0.18461291756042716,0.0,held_out
1998,125.7997650312984,-0.001152796210324376,-0.03527476839838837,0.0341219721880641,0.0,held_out
1998,251.5995300625968,0.001827702121129646,-0.03898537416808043,0.040813076289210375,0.0,held_out
1998,503.1990601251936,-0.002542427518170229,-0.02838189993595659,0.02583947241778629,0.0,held_out
1998,1006.3981202503873,-0.035399816289870156,-0.012850324729083136,-0.022549491560786908,0.0,held_out
1998,2012.7962405007745,-0.055945234953684114,-0.005865772921941445,-0.05007946203174261,0.0,held_out
1999,125.7997650312984,-0.1071823877458709,-0.08517202325687895,-0.02201036448899102,0.0,held_out
1999,251.5995300625968,-0.13773752520137067,-0.09801563437761117,-0.03972189082375929,0.0,held_out
1999,503.1990601251936,-0.1663211587104229,-0.08960082739039715,-0.0767203313200259,0.0,held_out
1999,1006.3981202503873,-0.20490429324561318,-0.05765724599314567,-0.1472470472524674,0.0,held_out
1999,2012.7962405007745,-0.23009175451788658,-0.04015359724935294,-0.18993815726853347,0.0,held_out
2000,125.7997650312984,-0.11036013010090166,-0.03728656175028499,-0.07307356835061654,0.0,held_out
2000,251.5995300625968,-0.13251151409061865,-0.033462125916841216,-0.09904938817377751,0.0,held_out
2000,503.1990601251936,-0.16746543759046295,-0.022601273228858187,-0.14486416436160462,0.0,held_out
2000,1006.3981202503873,-0.21902491624922682,-0.0072444062704673,-0.2117805099787593,0.0,held_out
2000,2012.7962405007745,-0.24737756004821213,0.001289161045998734,-0.24866672109421098,0.0,held_out
2001,125.7997650312984,-0.0677674123387161,-0.07612247129909956,0.00835505896038402,0.0,held_out
2001,251.5995300625968,-0.0721552042248418,-0.07300888824499166,0.0008536840201505738,0.0,held_out
2001,503.1990601251936,-0.08340922611891256,-0.052745035866674915,-0.03066419025223704,0.0,held_out
