day_definition,period,years,estimate,standard_error,ci_lower,ci_upper
utc,1991-2007,17,-0.0585149079277125,0.0162443090151511,-0.0929513046911188,-0.0240785111643061
utc,2008-2025,16,-0.0880490318884603,0.0212676720512023,-0.13338000181711,-0.0427180619598107
utc_plus_8,1991-2007,17,-0.0585149079277125,0.0162443090151511,-0.0929513046911188,-0.0240785111643061
utc_plus_8,2008-2025,16,-0.0888179925995037,0.0213514523566043,-0.134327536022029,-0.0433084491769782
