definition_index,metric,h_factor,bandwidth_km,weight_sum,lambda_2,lambda_max
1,graph_h_0.125,0.125,125.799765031298,118.061929826874,0.0327756076447312,3.24590499577295
1,graph_h_0.250,0.25,251.599530062597,558.983589174732,0.501428857607379,13.245407170054
1,graph_h_0.500,0.5,503.199060125194,1841.35554506073,5.86545589436207,44.4817816931266
1,graph_h_1.000,1,1006.39812025039,4204.70373024668,35.235835083911,87.7752418712072
1,graph_h_2.000,2,2012.79624050077,6161.12627485356,83.104363760002,111.00005602106
2,graph_h_0.125,0.125,125.799765031298,118.061929826874,0.0327756076447312,3.24590499577295
2,graph_h_0.250,0.25,251.599530062597,558.983589174732,0.501428857607379,13.245407170054
2,graph_h_0.500,0.5,503.199060125194,1841.35554506073,5.86545589436207,44.4817816931266
2,graph_h_1.000,1,1006.39812025039,4204.70373024668,35.235835083911,87.7752418712072
2,graph_h_2.000,2,2012.79624050077,6161.12627485356,83.104363760002,111.00005602106
