field,years,estimate,standard_error,ci_lower,ci_upper,negative_years
NOAA station,10,-0.17335525016981498,0.04931926650355431,-0.2849231821575406,-0.06178731818208938,9
ERA5-Land,10,-0.20985948512977134,0.03352474655488395,-0.28569773068177035,-0.13402123957777234,10
