window_days,year,analysis_role,bandwidth_km,matched_effect,months
3,1991,held_out,125.799765031298,0.08361047349191401,3
3,1991,held_out,251.599530062597,0.07452308867757186,3
3,1991,held_out,503.199060125194,0.06361564711454581,3
3,1991,held_out,1006.39812025039,0.02216842204598336,3
3,1991,held_out,2012.79624050077,-0.0029070368218364153,3
3,1992,held_out,125.799765031298,-0.0084063400386361,3
3,1992,held_out,251.599530062597,-0.019409768827293613,3
3,1992,held_out,503.199060125194,-0.024191857398375278,3
3,1992,held_out,1006.39812025039,-0.052144827696529776,3
3,1992,held_out,2012.79624050077,-0.07308182970847177,3
3,1993,held_out,125.799765031298,-0.024641411667147534,3
3,1993,held_out,251.599530062597,-0.027500683948914303,3
3,1993,held_out,503.199060125194,-0.02506482587795063,3
3,1993,held_out,1006.39812025039,-0.03150298809758486,3
3,1993,held_out,2012.79624050077,-0.04300118512243054,3
3,1994,held_out,125.799765031298,-0.03381577484507893,3
3,1994,held_out,251.599530062597,-0.052445487354106285,3
3,1994,held_out,503.199060125194,-0.07885155250066912,3
3,1994,held_out,1006.39812025039,-0.12401300634051278,3
3,1994,held_out,2012.79624050077,-0.14553760214536152,3
3,1995,held_out,125.799765031298,-0.02121629784697837,3
3,1995,held_out,251.599530062597,-0.04790188202086057,3
3,1995,held_out,503.199060125194,-0.08911114790204581,3
3,1995,held_out,1006.39812025039,-0.11108404373570428,3
3,1995,held_out,2012.79624050077,-0.11374991272447761,3
3,1996,held_out,125.799765031298,-0.13512967831636924,3
3,1996,held_out,251.599530062597,-0.1454480750274029,3
3,1996,held_out,503.199060125194,-0.14992919688731263,3
3,1996,held_out,1006.39812025039,-0.17613841295376867,3
3,1996,held_out,2012.79624050077,-0.1954486998979695,3
3,1997,held_out,125.799765031298,-0.07019219200556047,3
3,1997,held_out,251.599530062597,-0.08561621366757662,3
3,1997,held_out,503.199060125194,-0.10864615206620626,3
3,1997,held_out,1006.39812025039,-0.11816563159625822,3
3,1997,held_out,2012.79624050077,-0.11793110667051827,3
3,1998,held_out,125.799765031298,0.05259539085774781,3
3,1998,held_out,251.599530062597,0.05143976223130633,3
3,1998,held_out,503.199060125194,0.035132235128975266,3
3,1998,held_out,1006.39812025039,0.005690595954735145,3
3,1998,held_out,2012.79624050077,-0.007398247754832781,3
3,1999,held_out,125.799765031298,-0.0649923396498464,3
3,1999,held_out,251.599530062597,-0.07455091150562852,3
3,1999,held_out,503.199060125194,-0.07138649894830787,3
3,1999,held_out,1006.39812025039,-0.10042528174655745,3
3,1999,held_out,2012.79624050077,-0.12363378487033176,3
3,2000,held_out,125.799765031298,-0.16937136449561466,3
3,2000,held_out,251.599530062597,-0.1963439938559679,3
3,2000,held_out,503.199060125194,-0.22383175358609797,3
3,2000,held_out,1006.39812025039,-0.2535114811535751,3
3,2000,held_out,2012.79624050077,-0.269695279483345,3
3,2001,held_out,125.799765031298,-0.006070910704064634,3
3,2001,held_out,251.599530062597,-0.034841279812412654,3
3,2001,held_out,503.199060125194,-0.05716336030496686,3
3,2001,held_out,1006.39812025039,-0.09581400914134536,3
3,2001,held_out,2012.79624050077,-0.11821417076014017,3
3,2002,held_out,125.799765031298,0.013471127980835112,3
3,2002,held_out,251.599530062597,0.017666129276567227,3
3,2002,held_out,503.199060125194,0.03261693823439216,3
3,2002,held_out,1006.39812025039,0.02527700919409855,3
3,2002,held_out,2012.79624050077,0.01170078373870248,3
3,2003,held_out,125.799765031298,-0.07438411607401299,3
3,2003,held_out,251.599530062597,-0.08327612647623724,3
3,2003,held_out,503.199060125194,-0.09103328522687805,3
3,2003,held_out,1006.39812025039,-0.1252409704325699,3
3,2003,held_out,2012.79624050077,-0.14299484241317956,3
3,2004,held_out,125.799765031298,-0.03082633170566455,3
3,2004,held_out,251.599530062597,-0.07037416117681701,3
3,2004,held_out,503.199060125194,-0.08933767806046722,3
3,2004,held_out,1006.39812025039,-0.11739081606957942,3
3,2004,held_out,2012.79624050077,-0.13742188672382746,3
3,2005,held_out,125.799765031298,-0.08712083715722836,3
3,2005,held_out,251.599530062597,-0.11336151557000552,3
3,2005,held_out,503.199060125194,-0.12460895075866789,3
3,2005,held_out,1006.39812025039,-0.13999713657998958,3
3,2005,held_out,2012.79624050077,-0.1570683261083372,3
3,2006,held_out,125.799765031298,0.05334139059335749,3
3,2006,held_out,251.599530062597,0.011207237728976067,3
3,2006,held_out,503.199060125194,-0.05479311168712325,3
3,2006,held_out,1006.39812025039,-0.11326482536930656,3
3,2006,held_out,2012.79624050077,-0.13308943802119683,3
3,2007,held_out,125.799765031298,0.09988971012640772,3
3,2007,held_out,251.599530062597,0.12371168750605795,3
3,2007,held_out,503.199060125194,0.08265190269834422,3
3,2007,held_out,1006.39812025039,-0.019392994264596463,3
3,2007,held_out,2012.79624050077,-0.06606166694668518,3
3,2008,held_out,125.799765031298,-0.029830518495607704,3
3,2008,held_out,251.599530062597,-0.03462688124716307,3
3,2008,held_out,503.199060125194,-0.03861697405331514,3
3,2008,held_out,1006.39812025039,-0.06774928307544684,3
3,2008,held_out,2012.79624050077,-0.08586191058840785,3
3,2009,held_out,125.799765031298,-0.11291861809986027,3
3,2009,held_out,251.599530062597,-0.11576035255183907,3
3,2009,held_out,503.199060125194,-0.13328655414234702,3
3,2009,held_out,1006.39812025039,-0.16886753362854545,3
3,2009,held_out,2012.79624050077,-0.18636090512997738,3
3,2010,held_out,125.799765031298,-0.040521422339448755,3
3,2010,held_out,251.599530062597,-0.03450458141514887,3
3,2010,held_out,503.199060125194,-0.02665337936183468,3
3,2010,held_out,1006.39812025039,-0.05162542846236978,3
3,2010,held_out,2012.79624050077,-0.07549281225187321,3
3,2011,held_out,125.799765031298,-0.013067554234951213,3
3,2011,held_out,251.599530062597,-0.0257630487658241,3
3,2011,held_out,503.199060125194,-0.03461290178857634,3
3,2011,held_out,1006.39812025039,-0.08030764324507676,3
3,2011,held_out,2012.79624050077,-0.11235150873661681,3
3,2012,held_out,125.799765031298,-0.10308640003711407,3
3,2012,held_out,251.599530062597,-0.15132814118544533,3
3,2012,held_out,503.199060125194,-0.2063804347526205,3
3,2012,held_out,1006.39812025039,-0.2348534427595211,3
3,2012,held_out,2012.79624050077,-0.24357940401344202,3
3,2013,held_out,125.799765031298,-0.03624070178395759,3
3,2013,held_out,251.599530062597,-0.05101026724572131,3
3,2013,held_out,503.199060125194,-0.06394472932601526,3
3,2013,held_out,1006.39812025039,-0.09537255374047053,3
3,2013,held_out,2012.79624050077,-0.11114829783435609,3
3,2014,held_out,125.799765031298,0.08693001446117095,3
3,2014,held_out,251.599530062597,0.12048242377281997,3
3,2014,held_out,503.199060125194,0.167897864292622,3
3,2014,held_out,1006.39812025039,0.18102778560645058,3
3,2014,held_out,2012.79624050077,0.17579537161049053,3
3,2015,discovery,125.799765031298,-0.06915361539823045,3
3,2015,discovery,251.599530062597,-0.0791744148591078,3
3,2015,discovery,503.199060125194,-0.09726376025515952,3
3,2015,discovery,1006.39812025039,-0.1359754460806348,3
3,2015,discovery,2012.79624050077,-0.1602481831795362,3
3,2016,held_out,125.799765031298,0.08426650978175997,3
3,2016,held_out,251.599530062597,0.0975307413854506,3
3,2016,held_out,503.199060125194,0.10384560670991505,3
3,2016,held_out,1006.39812025039,0.0724269888433438,3
3,2016,held_out,2012.79624050077,0.05112387865615181,3
3,2017,held_out,125.799765031298,-0.03860570427646036,3
3,2017,held_out,251.599530062597,-0.02450845424925256,3
3,2017,held_out,503.199060125194,-0.010555608490027827,3
3,2017,held_out,1006.39812025039,-0.024057368282703034,3
3,2017,held_out,2012.79624050077,-0.0358254269546583,3
3,2018,held_out,125.799765031298,-0.04450089996398515,3
3,2018,held_out,251.599530062597,-0.04703774526338572,3
3,2018,held_out,503.199060125194,-0.03701694352530856,3
3,2018,held_out,1006.39812025039,-0.07172179518709303,3
3,2018,held_out,2012.79624050077,-0.10034931063877654,3
3,2019,held_out,125.799765031298,0.0003726505034662801,3
3,2019,held_out,251.599530062597,-0.0010687382750670105,3
3,2019,held_out,503.199060125194,0.029651836905183,3
3,2019,held_out,1006.39812025039,0.06858017947541444,3
3,2019,held_out,2012.79624050077,0.07632535496180565,3
3,2020,held_out,125.799765031298,0.0595962920885939,3
3,2020,held_out,251.599530062597,0.05157190570187686,3
3,2020,held_out,503.199060125194,0.029271021592099045,3
3,2020,held_out,1006.39812025039,-0.013816860303615333,3
3,2020,held_out,2012.79624050077,-0.030401027675665066,3
3,2021,held_out,125.799765031298,-0.11560673797691273,3
3,2021,held_out,251.599530062597,-0.13394019788832648,3
