measure,target_alternative_minus_7pct,target_null,mean_estimate_alternative_minus_7pct,mean_estimate_null,bias_alternative_minus_7pct,bias_null,rmse_alternative_minus_7pct,rmse_null,rejection_rate_05_alternative_minus_7pct,rejection_rate_05_null,monte_carlo_se_rejection_alternative_minus_7pct,monte_carlo_se_rejection_null
bounded_symmetric,-0.0725388601036269,0,-0.129931294357978,-0.0656527615393648,-0.0573924342543507,-0.0656527615393648,0.274804420565276,0.277098767781653,0.079,0.0475,0.00603154209137265,0.00475624589355933
log_ratio,-0.0725706928348354,0,-0.142381160704775,-0.0698104678699399,-0.0698104678699399,-0.0698104678699399,0.328326293873298,0.328326293873298,0.085,0.049,0.00623598428477815,0.00482695556225661
raw_ratio,-0.07,0,0.275614598942469,0.371628601013407,0.345614598942469,0.371628601013407,1.36940535131261,1.47247887237915,0.0795,0.047,0.00604895652158288,0.00473238840333293
