basis,year,analysis_role,bandwidth_km,total_effect,structured_component,residual_component
latitude,1991,held_out,125.799765,0.07281041033455689,-0.01582425990004569,0.08863467023460303
latitude,1991,held_out,251.59953,0.07721930439261855,-0.03096698220843683,0.10818628660105574
latitude,1991,held_out,503.19906,0.0841929483393394,-0.05240829897455649,0.13660124731389559
latitude,1991,held_out,1006.39812,0.04171172727477194,-0.07803437736273645,0.11974610463750886
latitude,1991,held_out,2012.796241,0.004766025271290307,-0.09591592071464335,0.10068194598593387
latitude,1992,held_out,125.799765,0.04696221026856904,-0.0228670279025029,0.06982923817107263
latitude,1992,held_out,251.59953,0.03576211147639752,-0.04480880997362313,0.08057092145002025
latitude,1992,held_out,503.19906,0.02903486097819839,-0.07901543546589075,0.1080502964440887
latitude,1992,held_out,1006.39812,-0.02033286810918661,-0.11767460482726244,0.09734173671807657
latitude,1992,held_out,2012.796241,-0.05810118311874654,-0.13910133558113244,0.08100015246238594
latitude,1993,held_out,125.799765,-0.01688065957098912,-0.028422594745144584,0.01154193517415573
latitude,1993,held_out,251.59953,-0.007764407691498105,-0.04556770146223083,0.0378032937707337
latitude,1993,held_out,503.19906,-0.004533389410146996,-0.0688307599936322,0.064297370583485
latitude,1993,held_out,1006.39812,-0.03870833445594985,-0.09450867919348342,0.055800344737533286
latitude,1993,held_out,2012.796241,-0.06601950989212468,-0.10962983090131222,0.04361032100918726
latitude,1994,held_out,125.799765,0.038272464221062265,-0.018260353970114596,0.05653281819117619
latitude,1994,held_out,251.59953,0.04487437642216644,-0.03655148205077958,0.08142585847294666
latitude,1994,held_out,503.19906,0.03785570980621777,-0.07443187875232987,0.11228758855854781
latitude,1994,held_out,1006.39812,-0.016982807758460925,-0.11833122759869218,0.10134841984023125
latitude,1994,held_out,2012.796241,-0.05631557694138704,-0.14262186323034648,0.08630628628895971
latitude,1995,held_out,125.799765,0.007188224917125359,-0.005153202727575544,0.012341427644700665
latitude,1995,held_out,251.59953,-0.012526020581162027,-0.016907079496911455,0.0043810589157494
latitude,1995,held_out,503.19906,-0.05440341238837576,-0.04931573102092637,-0.0050876813674496065
latitude,1995,held_out,1006.39812,-0.09620459252765097,-0.0880725788535947,-0.008132013674056263
latitude,1995,held_out,2012.796241,-0.1124900239114849,-0.10385853562841192,-0.00863148828307318
latitude,1996,held_out,125.799765,-0.06923980007574994,-0.03618923719990366,-0.03305056287584638
latitude,1996,held_out,251.59953,-0.06187954907911921,-0.06051344618689736,-0.001366102892221167
latitude,1996,held_out,503.19906,-0.06310095365216516,-0.1027045497717533,0.03960359611958817
latitude,1996,held_out,1006.39812,-0.12582043818301147,-0.1533851019134422,0.027564663730430452
latitude,1996,held_out,2012.796241,-0.16707741680761531,-0.180529649323064,0.0134522325154486
latitude,1997,held_out,125.799765,-0.07432589002127184,-0.02643547882962367,-0.04789041119164872
latitude,1997,held_out,251.59953,-0.10154294144017341,-0.04881768063075296,-0.0527252608094206
latitude,1997,held_out,503.19906,-0.13718089536918238,-0.08557947489705159,-0.051601420472131544
latitude,1997,held_out,1006.39812,-0.17534008726813707,-0.12460826435020401,-0.050731822917932684
latitude,1997,held_out,2012.796241,-0.19434568621896933,-0.143575392648123,-0.05077029357084653
latitude,1998,held_out,125.799765,-0.001152796209664575,-0.021327909589405072,0.020175113379741
latitude,1998,held_out,251.59953,0.0018277021192336675,-0.03739980614241378,0.03922750826164811
latitude,1998,held_out,503.19906,-0.002542427510081285,-0.0708427026379261,0.06830027512784463
latitude,1998,held_out,1006.39812,-0.03539981627860321,-0.10570566647648665,0.0703058501978832
latitude,1998,held_out,2012.796241,-0.05594523495769368,-0.11997374254012567,0.06402850758243218
latitude,1999,held_out,125.799765,-0.10718238773657396,-0.044160920915457806,-0.06302146682111633
latitude,1999,held_out,251.59953,-0.13773752519010315,-0.07054612709162135,-0.06719139809848143
latitude,1999,held_out,503.19906,-0.16632115869907224,-0.11432151758557067,-0.05199964111350197
latitude,1999,held_out,1006.39812,-0.20490429323225157,-0.16688759371115888,-0.03801669952109226
latitude,1999,held_out,2012.796241,-0.23009175452295438,-0.19460783566899145,-0.035483918853962244
latitude,2000,held_out,125.799765,-0.11036013009466199,-0.03304856909729051,-0.07731156099737113
latitude,2000,held_out,251.59953,-0.1325115140808624,-0.058193784441425034,-0.07431772963943764
latitude,2000,held_out,503.19906,-0.16746543757341123,-0.10946556228200104,-0.05799987529141076
latitude,2000,held_out,1006.39812,-0.2190249162334337,-0.16719504357110848,-0.05182987266232451
latitude,2000,held_out,2012.796241,-0.24737756005369582,-0.1961655655760077,-0.05121199447768784
latitude,2001,held_out,125.799765,-0.06776741233845587,-0.029469320965935724,-0.03829809137251971
latitude,2001,held_out,251.59953,-0.07215520422225317,-0.04984731280709043,-0.022307891415162578
latitude,2001,held_out,503.19906,-0.08340922611024486,-0.08723919862999803,0.003829972519753403
latitude,2001,held_out,1006.39812,-0.12115689987666685,-0.13214480734735767,0.010987907470690894
latitude,2001,held_out,2012.796241,-0.1474952006785344,-0.155494039472213,0.007998838793678261
latitude,2002,held_out,125.799765,0.02528656276612355,-0.011744940924051145,0.03703150369017373
latitude,2002,held_out,251.59953,0.022962254497743417,-0.024146388187612375,0.04710864268535613
latitude,2002,held_out,503.19906,0.0325062604415902,-0.03831121701955951,0.07081747746115007
latitude,2002,held_out,1006.39812,0.02111579050002435,-0.05006483869256837,0.07118062919259265
latitude,2002,held_out,2012.796241,0.0032040596317395123,-0.058895964035535285,0.06210002366727488
latitude,2003,held_out,125.799765,0.009598034505411726,-0.028194516193951306,0.037792550699363624
latitude,2003,held_out,251.59953,0.007227065476397791,-0.04814540680635467,0.05537247228275288
latitude,2003,held_out,503.19906,-0.004618159168925347,-0.09675421368544405,0.09213605451651811
latitude,2003,held_out,1006.39812,-0.06998528070871203,-0.15469661914467478,0.08471133843596257
latitude,2003,held_out,2012.796241,-0.1075504958396565,-0.17955235429909452,0.07200185845943796
latitude,2004,held_out,125.799765,-8.815421247722217e-05,-0.02982623348159061,0.029738079269113465
