record_id,year,month,forcing_segment,bandwidth_km,q_middle,q_high,relative_effect,n_high,n_middle
195806,1958,6,1950-1978,2012.796241,16.536207222189265,14.49897449039663,-0.12319830686803168,8,14
195807,1958,7,1950-1978,125.799765,2.3373656756008754,2.4570719428087426,0.05121418033021041,8,15
195807,1958,7,1950-1978,251.59953,3.722399210329305,3.7941063992779323,0.019263701955891,8,15
195807,1958,7,1950-1978,503.19906,6.430590440680206,6.270150741313387,-0.024949450730351264,8,15
195807,1958,7,1950-1978,1006.39812,9.477496604836652,8.847935642798541,-0.066426925620509,8,15
195807,1958,7,1950-1978,2012.796241,11.069068284435607,10.128221888624251,-0.08499779490332482,8,15
195808,1958,8,1950-1978,125.799765,2.7281212681693643,2.4762024091088297,-0.09234151795223466,8,15
195808,1958,8,1950-1978,251.59953,4.400953876158135,3.8240295286870114,-0.13109075071124277,8,15
195808,1958,8,1950-1978,503.19906,7.834335584249365,6.396475948337826,-0.18353306677369063,8,15
195808,1958,8,1950-1978,1006.39812,12.41834265607641,9.252403165094794,-0.25494058093432403,8,15
195808,1958,8,1950-1978,2012.796241,15.173954505750565,10.65433606014621,-0.29785369686534435,8,15
195906,1959,6,1950-1978,125.799765,2.765506996796982,2.4683870151625307,-0.1074377978354698,8,14
195906,1959,6,1950-1978,251.59953,4.748979239928309,4.139314101102432,-0.12837814360188282,8,14
195906,1959,6,1950-1978,503.19906,9.369058612301174,7.944425875957813,-0.15205719115396288,8,14
195906,1959,6,1950-1978,1006.39812,16.409761031172092,13.291120461523215,-0.19004789671980515,8,14
195906,1959,6,1950-1978,2012.796241,21.09964298601398,16.505451037671506,-0.21773789970701207,8,14
195907,1959,7,1950-1978,125.799765,2.4207648072362793,2.147377892515209,-0.11293410822226413,8,15
195907,1959,7,1950-1978,251.59953,3.9334449408195917,3.2047252415678087,-0.18526246336625818,8,15
195907,1959,7,1950-1978,503.19906,7.038664176434301,5.207348725480992,-0.2601794040813338,8,15
195907,1959,7,1950-1978,1006.39812,10.643896589141441,7.213231005527499,-0.3223129382066523,8,15
195907,1959,7,1950-1978,2012.796241,12.533706033795214,8.05843836858658,-0.35705861084836055,8,15
195908,1959,8,1950-1978,125.799765,2.7795903560465507,2.823701167594178,0.015869536837207487,8,15
195908,1959,8,1950-1978,251.59953,4.547134382583666,4.58147523448693,0.007552196397536681,8,15
195908,1959,8,1950-1978,503.19906,8.124858791880897,8.14096108135782,0.001981854686879725,8,15
195908,1959,8,1950-1978,1006.39812,12.444303110751267,12.129946266581092,-0.025261104729809025,8,15
195908,1959,8,1950-1978,2012.796241,14.825379316395724,14.138352069188194,-0.0463412930317223,8,15
196006,1960,6,1950-1978,125.799765,2.5126706090754807,2.5745096135823444,0.02461086792813516,8,14
196006,1960,6,1950-1978,251.59953,4.310312457875783,4.510516542491518,0.04644769644249869,8,14
196006,1960,6,1950-1978,503.19906,8.339122604795932,9.139570297634714,0.09598703973706235,8,14
196006,1960,6,1950-1978,1006.39812,14.328593864938764,15.428940588693656,0.07679376874847277,8,14
196006,1960,6,1950-1978,2012.796241,18.174098479508636,18.957038063672623,0.0430799681781604,8,14
196007,1960,7,1950-1978,125.799765,2.4741779347905863,2.2976635999045865,-0.07134261946319553,8,15
196007,1960,7,1950-1978,251.59953,4.0347293333551475,3.670286748087916,-0.09032640238203371,8,15
196007,1960,7,1950-1978,503.19906,7.274969074610434,6.335298562022584,-0.12916488069582177,8,15
196007,1960,7,1950-1978,1006.39812,11.12392185198712,9.10755357143994,-0.18126415371993887,8,15
196007,1960,7,1950-1978,2012.796241,13.096890927382331,10.369748891253934,-0.20822820097147055,8,15
196008,1960,8,1950-1978,125.799765,2.6587444821212003,2.2256076022109115,-0.16291030703511733,8,15
196008,1960,8,1950-1978,251.59953,4.3227932971235905,3.4418391554642755,-0.20379279810707274,8,15
196008,1960,8,1950-1978,503.19906,7.807204337965816,5.697555218887186,-0.2702182532637929,8,15
196008,1960,8,1950-1978,1006.39812,12.541259190361627,8.261482523541881,-0.34125573850741364,8,15
196008,1960,8,1950-1978,2012.796241,15.377073480786343,9.59965666249387,-0.3757162782314435,8,15
196106,1961,6,1950-1978,125.799765,2.8223394905898296,2.5266971149778468,-0.10475081987751855,8,14
196106,1961,6,1950-1978,251.59953,4.664067387402143,3.9576882082456817,-0.15145132359459978,8,14
196106,1961,6,1950-1978,503.19906,9.07096190566372,6.951221450890614,-0.23368419764276427,8,14
196106,1961,6,1950-1978,1006.39812,15.79487046838655,11.35803784155114,-0.28090338795216685,8,14
196106,1961,6,1950-1978,2012.796241,19.954261648891556,14.041509054306282,-0.29631527834124216,8,14
196107,1961,7,1950-1978,125.799765,2.630347767453612,2.7839235575408927,0.05838611608226785,8,15
196107,1961,7,1950-1978,251.59953,4.3332792001324565,4.527670637945328,0.04486012297728936,8,15
196107,1961,7,1950-1978,503.19906,7.771425914357023,7.711367516418335,-0.007728105318193346,8,15
196107,1961,7,1950-1978,1006.39812,11.649986131674327,10.871559202802526,-0.06681784167582738,8,15
196107,1961,7,1950-1978,2012.796241,13.617057331211981,12.386145934054877,-0.09039481638486624,8,15
196108,1961,8,1950-1978,125.799765,2.784506890336877,2.363795481764715,-0.1510900942756379,8,15
196108,1961,8,1950-1978,251.59953,4.6201024482545,3.5442023503326148,-0.23287364511329534,8,15
196108,1961,8,1950-1978,503.19906,8.480716264310692,5.6995995546453475,-0.32793417713655726,8,15
196108,1961,8,1950-1978,1006.39812,13.115217873282795,8.074829645026751,-0.38431601189972553,8,15
