period,years,estimate,standard_error,t_statistic,t_p_value_lower,ci_lower,ci_upper,negative_years,negative_fraction
1950-1978,29,-0.10504352293476651,0.009719999236291582,-10.806947653099117,8.444609239243857e-12,-0.12495403878863051,-0.08513300708090252,28,0.9655172413793104
1979-1990,12,-0.12344930075307764,0.019545565648769567,-6.315974833956726,2.8544194013151207e-05,-0.1664688006914465,-0.08042980081470877,12,1.0
