year,bandwidth_km,total_effect,anomaly_energy_component,climatology_anomaly_cross_component,climatology_energy_component
1950,125.799765,-0.061716808364845284,-0.015393325381939708,-0.04632348298290575,0.0
1950,251.59953,-0.07648900535342455,-0.007774616173167707,-0.06871438918025717,0.0
1950,503.19906,-0.10544213701431403,0.0012261241686207472,-0.10666826118293478,0.0
1950,1006.39812,-0.1654224973027644,0.011278730529935619,-0.17670122783270034,0.0
1950,2012.796241,-0.20372246347310866,0.018972652507878034,-0.22269511598098676,0.0
1951,125.799765,-0.04829783515924126,-0.058675550567943935,0.010377715408702906,0.0
1951,251.59953,-0.0370438247867168,-0.05811349459392564,0.02106966980720959,0.0
1951,503.19906,-0.038194642031581384,-0.04218378921742947,0.003989147185848421,0.0
1951,1006.39812,-0.09750853916222364,-0.0189379029969548,-0.07857063616526866,0.0
1951,2012.796241,-0.1445206075540406,-0.00585651356077917,-0.13866409399326166,0.0
1952,125.799765,-0.09466764652961475,-0.06512619076552363,-0.029541455764091326,0.0
1952,251.59953,-0.129935235230353,-0.06852506698619204,-0.06141016824416057,0.0
1952,503.19906,-0.1824493440963619,-0.049945878110741436,-0.13250346598562043,0.0
1952,1006.39812,-0.24291125019906765,-0.021154655973239688,-0.2217565942258282,0.0
1952,2012.796241,-0.2756119492320715,-0.006414308993911683,-0.26919764023816023,0.0
1953,125.799765,0.05933362295107739,-0.0094374876170518,0.06877111056812962,0.0
1953,251.59953,0.043152647938427345,-0.004808833057785303,0.04796148099621258,0.0
1953,503.19906,-0.0019435511231530357,0.012765232314844428,-0.01470878343799758,0.0
1953,1006.39812,-0.07184343400073033,0.032107589086100015,-0.10395102308683064,0.0
1953,2012.796241,-0.10952017571174776,0.040219155659274995,-0.14973933137102233,0.0
1954,125.799765,-0.09466476644016096,-0.0763233941716756,-0.01834137226848578,0.0
1954,251.59953,-0.09049341315344656,-0.08671730742233441,-0.003776105731112339,0.0
1954,503.19906,-0.09211221017551045,-0.07688625176500279,-0.015225958410507093,0.0
1954,1006.39812,-0.12766421332556746,-0.04623063315470896,-0.08143358017085851,0.0
1954,2012.796241,-0.14877366844201748,-0.02999527491933565,-0.11877839352268153,0.0
1955,125.799765,-0.0384433369029115,-0.021686831157990433,-0.01675650574492203,0.0
1955,251.59953,-0.04881241721331806,-0.02494685032191436,-0.023865566891403667,0.0
1955,503.19906,-0.07403285959345624,-0.02535471396883007,-0.048678145624625906,0.0
1955,1006.39812,-0.11441274741093733,-0.008731746934249314,-0.10568100047668832,0.0
1955,2012.796241,-0.1423157228868329,0.004204804095036307,-0.14652052698186915,0.0
1956,125.799765,-0.02064709952436374,-0.029519242516429716,0.008872142992065929,0.0
1956,251.59953,-0.04323591421513786,-0.03374859075583234,-0.009487323459305197,0.0
