bandwidth_km,observed,unadjusted_p,complete_null_single_step_p,null_mean,null_sd
125.799765,-0.05956624466875202,1e-05,6e-05,0.0037035502325532665,0.009830144162633546
251.59953,-0.07510598301702763,1e-05,1e-05,0.005480797214590431,0.012018766637458286
503.19906,-0.10076973037613948,1e-05,1e-05,0.008895736975015611,0.015450847538191563
1006.39812,-0.14497632570737712,1e-05,1e-05,0.011679571014497517,0.01799551208162228
2012.796241,-0.17173461551669886,1e-05,1e-05,0.012910265647090509,0.019125649979547542
