bandwidth_km,years,estimate,standard_error,t_statistic,t_p_value_lower,ci_lower,ci_upper,negative_years,negative_fraction
125.799765,41,-0.059566244668752016,0.007012304584634351,-8.494531854659595,8.551522750790829e-11,-0.07373864089408835,-0.04539384844341568,38,0.926829268292683
251.59953,41,-0.07510598301702762,0.008097948502076123,-9.27469259625104,8.087483361988142e-12,-0.09147254744654122,-0.05873941858751401,39,0.9512195121951219
503.19906,41,-0.10076973037613944,0.010073510520141205,-10.003437250068698,9.56131654428809e-13,-0.12112905458238818,-0.0804104061698907,40,0.975609756097561
1006.39812,41,-0.14497632570737712,0.011012805599751959,-13.164340766229671,2.001215522909182e-16,-0.16723403608326293,-0.12271861533149131,41,1.0
2012.796241,41,-0.1717346155166989,0.011190555944683413,-15.34638818353697,1.1692063123253515e-18,-0.19435157274034412,-0.1491176582930537,41,1.0
