partition,year,scale,ratio,rms_absolute
20--80,1997,2,-0.14175883290720523,-0.22673943921889825
20--80,1997,3,-0.1809420481284205,-0.3863219897684571
20--80,1997,4,-0.21305295847897907,-0.5761873866482873
20--80,1997,5,-0.2286567418120253,-0.6842155303704436
20--80,1997,6,-0.23465321315644472,-0.7266824287351836
20--80,1998,1,0.015374429131306341,0.013330597543200392
20--80,1998,2,0.020699255542589817,0.021629114595756782
20--80,1998,3,0.023981334610765865,0.029650548213340972
20--80,1998,4,-0.010564328125012993,-0.06043071947320892
20--80,1998,5,-0.03526182705406274,-0.14841760543886018
20--80,1998,6,-0.04589997470965679,-0.19140639794351402
20--80,1999,1,-0.0816392692175758,-0.09823834945719649
20--80,1999,2,-0.11200672794419513,-0.17361284943233324
20--80,1999,3,-0.13664227256307301,-0.2897173228583929
20--80,1999,4,-0.17589163747068107,-0.4797805937956789
20--80,1999,5,-0.20264336153709187,-0.6179297245364683
20--80,1999,6,-0.214169931409694,-0.679457560268745
20--80,2000,1,-0.09128182864110819,-0.11112853711451454
20--80,2000,2,-0.11596459024045391,-0.17981648057526778
20--80,2000,3,-0.1517161550029539,-0.320946131219263
20--80,2000,4,-0.20574294187133046,-0.5522705307054553
20--80,2000,5,-0.23703410193941366,-0.7045291245928711
20--80,2000,6,-0.2501136541024129,-0.7702965565927489
20--80,2001,1,-0.03442507742259223,-0.04567859027303308
20--80,2001,2,-0.0329365233835871,-0.05535319023173413
20--80,2001,3,-0.04004276249706573,-0.08936565046077034
20--80,2001,4,-0.09071706331061428,-0.2511313021578368
20--80,2001,5,-0.12667335636187296,-0.3918154775681056
20--80,2001,6,-0.142194007870631,-0.4582035340650196
20--80,2002,1,0.057204282308793895,0.0545477330889946
20--80,2002,2,0.051276726136667894,0.053056546647518875
20--80,2002,3,0.05902589222229585,0.06570506798847224
20--80,2002,4,0.05257297944616487,0.043416540655990175
20--80,2002,5,0.03835212740494228,0.00022793803340033966
20--80,2002,6,0.03098377502995357,-0.023283259549399322
20--80,2003,1,-0.03829112248895746,-0.045817305657678276
20--80,2003,2,-0.054098051887315125,-0.08291899744318772
20--80,2003,3,-0.08047479340675046,-0.16598603884484828
20--80,2003,4,-0.1437463162312814,-0.383220320774714
20--80,2003,5,-0.17750688127016398,-0.5299871193035471
20--80,2003,6,-0.1907461632526212,-0.5925593948836815
20--80,2004,1,-0.012289041120554511,-0.014923827722625571
20--80,2004,2,-0.030591859642633557,-0.04776013072547158
20--80,2004,3,-0.06622469527166885,-0.13881119963788388
20--80,2004,4,-0.1421824924801717,-0.38096466865121403
20--80,2004,5,-0.18727703545082075,-0.5643756744202406
20--80,2004,6,-0.20587870261937533,-0.6476050803706604
20--80,2005,1,-0.043411212040382376,-0.05119410688548257
20--80,2005,2,-0.06490180709962486,-0.0982204138866442
20--80,2005,3,-0.1005742695881926,-0.20703356267650394
20--80,2005,4,-0.16849520154230033,-0.44330661565302937
20--80,2005,5,-0.20904668760055659,-0.6135481296612696
20--80,2005,6,-0.22586319561954826,-0.6890836178165918
20--80,2006,1,-0.03172685744297773,-0.04162284265447521
20--80,2006,2,-0.04590776158963209,-0.07305831900688571
20--80,2006,3,-0.08247725206689267,-0.16889747474318684
20--80,2006,4,-0.13163932849974505,-0.3418192005739769
20--80,2006,5,-0.1540781979499666,-0.4465075528118101
20--80,2006,6,-0.16211159190173619,-0.48893362924200723
20--80,2007,1,0.03612537280091591,0.03694299430675615
20--80,2007,2,0.021210785356184664,0.0241889314549093
20--80,2007,3,-0.01768207739220436,-0.04576585413687839
20--80,2007,4,-0.0979431156269625,-0.2640700429541371
20--80,2007,5,-0.1444395634245884,-0.4298192279292161
20--80,2007,6,-0.16365886203649696,-0.505751840248819
20--80,2008,1,-0.01768312091089382,-0.02108041397599895
20--80,2008,2,-0.028313897853137055,-0.04517626281294721
20--80,2008,3,-0.04471600248058705,-0.10032538884263283
20--80,2008,4,-0.08278133053856147,-0.22831723539479606
20--80,2008,5,-0.10679422673562496,-0.32011426163714596
20--80,2008,6,-0.1170727602400375,-0.36117842324554417
20--80,2009,1,-0.1176175282691871,-0.15430667158427833
20--80,2009,2,-0.14544337706541433,-0.2527231614822563
20--80,2009,3,-0.18891864333175123,-0.46087151470667304
20--80,2009,4,-0.2331468056571472,-0.7398896064066189
20--80,2009,5,-0.2533907448753423,-0.8982337907163437
20--80,2009,6,-0.2610679089357794,-0.9615721622652895
20--80,2010,1,-0.03321748540733793,-0.04254227323950636
20--80,2010,2,-0.05429551716403347,-0.09075583438608141
20--80,2010,3,-0.09212516626343337,-0.21749347791590642
20--80,2010,4,-0.1542923119655104,-0.4610712161706303
20--80,2010,5,-0.19349740200181068,-0.6317091176344594
20--80,2010,6,-0.2100924817767759,-0.7067899916950235
20--80,2011,1,-0.03560574920467322,-0.0413043757532973
20--80,2011,2,-0.04972177179068582,-0.07468912363290621
20--80,2011,3,-0.07571096785774394,-0.15558659790141208
20--80,2011,4,-0.14821815608680014,-0.3988096736569456
20--80,2011,5,-0.19124913491606535,-0.5805791059061587
20--80,2011,6,-0.2089509342743681,-0.6621042344018049
20--80,2012,1,-0.14415140346876257,-0.1713620422632173
20--80,2012,2,-0.20997990887329646,-0.32601518632550447
20--80,2012,3,-0.28893112560350803,-0.625723952364036
20--80,2012,4,-0.33845019161502626,-0.9527689183949778
20--80,2012,5,-0.3572019076912065,-1.1231188425690959
20--80,2012,6,-0.3638417022746216,-1.1884471209887757
20--80,2013,1,-0.03272154274899197,-0.0386479476119721
20--80,2013,2,-0.0434002503509443,-0.06726707025743058
20--80,2013,3,-0.06042549756405421,-0.13213768891089916
20--80,2013,4,-0.10481004385697461,-0.2795780068348863
20--80,2013,5,-0.13172165042065223,-0.3813625571235611
20--80,2013,6,-0.14272428323753783,-0.42544201657886127
20--80,2014,1,-0.05887941560460238,-0.06840696657811618
20--80,2014,2,-0.07097633047550704,-0.10772255123294094
20--80,2014,3,-0.07056466641359771,-0.1494248715381965
20--80,2014,4,-0.09177963318261857,-0.251282466462861
20--80,2014,5,-0.1110688773433484,-0.34043032199061596
20--80,2014,6,-0.11952377321452201,-0.38149721388867225
20--80,2016,1,0.018688663548628193,0.01669759333212717
20--80,2016,2,0.009374963918526213,0.005770451953055773
20--80,2016,3,-0.023557964320292484,-0.06076234239784813
20--80,2016,4,-0.08070799398865185,-0.2262605332870331
20--80,2016,5,-0.11144477226841006,-0.3419132521238577
20--80,2016,6,-0.12391845525420508,-0.39351926477648586
20--80,2017,1,-0.05454807755142388,-0.06341093997927565
20--80,2017,2,-0.06625679847912047,-0.10004980510773498
20--80,2017,3,-0.09528861335882803,-0.19754851439736068
20--80,2017,4,-0.14891544073565188,-0.4001588454414442
20--80,2017,5,-0.17994841395238914,-0.543282501574951
20--80,2017,6,-0.1929930512998119,-0.607732438043676
20--80,2018,1,-0.08056987414319002,-0.09124318032384664
20--80,2018,2,-0.10699527899573502,-0.152038346179639
20--80,2018,3,-0.14360372193917695,-0.26787749530800625
20--80,2018,4,-0.21816245712877558,-0.5147165424088422
20--80,2018,5,-0.2656816237483143,-0.6995149460816154
20--80,2018,6,-0.28612651716549337,-0.7841039112602476
20--80,2019,1,-0.03943972948267042,-0.04844676154858899
20--80,2019,2,-0.04230073293191231,-0.06537798864541362
20--80,2019,3,-0.04444375939909321,-0.09230141377186889
20--80,2019,4,-0.07672878004195549,-0.20559414650988295
20--80,2019,5,-0.10578101538632505,-0.31851867111767823
20--80,2019,6,-0.11934349006092933,-0.3749075916411015
20--80,2020,1,-0.01754360166478038,-0.021588566712538764
20--80,2020,2,-0.024943396108595934,-0.03790545061201467
20--80,2020,3,-0.05127961631748327,-0.10247312386527503
20--80,2020,4,-0.09075381355205692,-0.234624916968779
20--80,2020,5,-0.10986775009469392,-0.3191600076556522
20--80,2020,6,-0.11707793001846471,-0.35436719537668093
20--80,2021,1,-0.05846751575144726,-0.07345207650142142
20--80,2021,2,-0.05157252923895198,-0.08713173368334075
20--80,2021,3,-0.04931048551595959,-0.12271075385426045
20--80,2021,4,-0.08560824997984325,-0.26446404060334583
20--80,2021,5,-0.11043533656827169,-0.37650874602036905
20--80,2021,6,-0.12097215755871642,-0.4274827783898412
20--80,2023,1,-0.13840279488743334,-0.1760879520263606
20--80,2023,2,-0.17616575601035125,-0.2891814656630105
20--80,2023,3,-0.22315082859815835,-0.510131129717814
20--80,2023,4,-0.2666463585636222,-0.7947533647096852
20--80,2023,5,-0.2897424080976736,-0.9634809244135664
20--80,2023,6,-0.2992079600599622,-1.0325476689753776
20--80,2024,1,0.04106212110192797,0.044460565082379354
20--80,2024,2,0.03765668519312929,0.05088078187883882
20--80,2024,3,0.02370616253543952,0.0418898274840922
20--80,2024,4,-0.024613036685357675,-0.06603229815769336
20--80,2024,5,-0.05449273303303692,-0.15686729330116123
20--80,2024,6,-0.06708881644294158,-0.1995499009178753
20--80,2025,1,-0.08759970876050778,-0.10038191972870658
20--80,2025,2,-0.11705914697566833,-0.1716360467404249
20--80,2025,3,-0.16720653199906818,-0.33262563847010423
20--80,2025,4,-0.22127770291941717,-0.5700507883719665
20--80,2025,5,-0.24675710829261566,-0.7141968213069658
20--80,2025,6,-0.2564553996501037,-0.7738883240590765
25--70,1991,1,0.05668723256212216,0.0630763970428873
25--70,1991,2,0.054645666771792056,0.07644667051805643
25--70,1991,3,0.055592282504867106,0.09837917426761456
25--70,1991,4,0.009462723442075363,0.006238600410535848
25--70,1991,5,-0.02902708954396675,-0.09780204002814763
25--70,1991,6,-0.04624601654171582,-0.14961994898601194
25--70,1992,1,0.07093240605485869,0.07721516734658988
25--70,1992,2,0.0630154164498287,0.08629503719448699
25--70,1992,3,0.05583842317945279,0.10090907499466455
25--70,1992,4,0.006109615051962947,0.013179529663872517
25--70,1992,5,-0.03081534383545455,-0.08287272858513035
25--70,1992,6,-0.04661104788650824,-0.1302235911287862
25--70,1993,1,-0.030916857691836015,-0.040052918661572345
25--70,1993,2,-0.028350613794096164,-0.0510788369439014
25--70,1993,3,-0.03149584848331022,-0.079547435981499
25--70,1993,4,-0.06787657521006256,-0.19990475350154924
25--70,1993,5,-0.09328583281197127,-0.3007328719471773
25--70,1993,6,-0.10388788348848794,-0.34644767220143624
25--70,1994,1,0.01820607403417655,0.016828498769337674
25--70,1994,2,0.035209323716678176,0.035676295982142094
25--70,1994,3,0.04129786378226863,0.035400292228108476
25--70,1994,4,-0.0027860792751694583,-0.06155220614804069
25--70,1994,5,-0.03717809032220539,-0.1482404998577982
25--70,1994,6,-0.05256270692017143,-0.18995622062318684
25--70,1995,1,0.009845304914843478,0.008771751350152032
25--70,1995,2,-0.004305920479061938,-0.007408536046472995
25--70,1995,3,-0.03963187228045728,-0.08273473725961944
25--70,1995,4,-0.08356684296347576,-0.22132738760996595
25--70,1995,5,-0.10257152454117502,-0.29709112497834766
25--70,1995,6,-0.10983750936169219,-0.327297084164002
25--70,1996,1,-0.039689637049826275,-0.05842835547175055
25--70,1996,2,-0.0313876195211662,-0.06404025085544918
25--70,1996,3,-0.036934178024683795,-0.09351978266524859
25--70,1996,4,-0.11094509534856493,-0.30454782864521385
25--70,1996,5,-0.15678520270444854,-0.4729517373742655
25--70,1996,6,-0.17525531360362553,-0.5483325733597285
25--70,1997,1,-0.07188817643549439,-0.09339382308131079
25--70,1997,2,-0.09881393984804476,-0.15998837905851163
25--70,1997,3,-0.1307587391951777,-0.27945232550033355
25--70,1997,4,-0.1654974442370354,-0.44792124901655433
25--70,1997,5,-0.1831795983206246,-0.5495342006024441
25--70,1997,6,-0.19017673657171963,-0.5909001984261154
25--70,1998,1,-0.00034769706104579673,-0.0009339579681639046
25--70,1998,2,0.00936837383603891,0.013385231976628997
25--70,1998,3,0.008695469224635674,0.016328768108885505
25--70,1998,4,-0.02806881406237738,-0.07813078404760947
25--70,1998,5,-0.05242467467023922,-0.1635607149483557
25--70,1998,6,-0.06286762500751786,-0.20485125754777625
25--70,1999,1,-0.0949075254567201,-0.11355385409661108
25--70,1999,2,-0.1394351764453247,-0.21755215377242543
25--70,1999,3,-0.1802589116976905,-0.39347667670165487
25--70,1999,4,-0.21621598138865264,-0.616352467386814
25--70,1999,5,-0.2371564104746916,-0.7583008711328407
25--70,1999,6,-0.24595152205284232,-0.8188606915396438
25--70,2000,1,-0.04332860700003479,-0.05656626903105163
25--70,2000,2,-0.062373105871048384,-0.10188291691770261
25--70,2000,3,-0.10085585971346471,-0.22178317902150071
25--70,2000,4,-0.15652828560658497,-0.42790440184332884
25--70,2000,5,-0.18684251452775946,-0.561736598658045
25--70,2000,6,-0.19929398143612956,-0.6194048636694035
25--70,2001,1,-0.08020862793463042,-0.1006079370959972
25--70,2001,2,-0.06847337964358502,-0.10923926965849977
25--70,2001,3,-0.06360817708645679,-0.13681935319750801
25--70,2001,4,-0.08978286046947818,-0.24719837911680406
25--70,2001,5,-0.1107742263647784,-0.34159582802175475
25--70,2001,6,-0.12011221182964027,-0.3858162518542721
25--70,2002,1,0.02847458114336591,0.019092974107502176
25--70,2002,2,0.010457901157917485,-0.006370916019097598
25--70,2002,3,-0.0016792121165007574,-0.0364708604590005
25--70,2002,4,-0.02027651260590409,-0.10552100267104454
25--70,2002,5,-0.03688428700471125,-0.17362316785209528
25--70,2002,6,-0.044547626914387815,-0.20684303381626634
25--70,2003,1,-0.02370101912874893,-0.0282830087091465
25--70,2003,2,-0.03114433314067618,-0.04883162942683983
25--70,2003,3,-0.033561614108702544,-0.06915446997685996
25--70,2003,4,-0.08272131473532496,-0.21443050516243556
25--70,2003,5,-0.11594466764362217,-0.33611804096552184
